Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-09-08-tweedekamer-26	ParlaMint-NL_2020-09-08-tweedekamer-26.u1	Report of the meeting of the Dutch Lower House, Meeting 98, Session 26 (2020-09-08)	2020-09-08	Lower house	Meeting of the 29th Tweede Kamer	Session 26	Meeting 98	Sitting 2020-09-08	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-09-08-tweedekamer-26	ParlaMint-NL_2020-09-08-tweedekamer-26.u2	Report of the meeting of the Dutch Lower House, Meeting 98, Session 26 (2020-09-08)	2020-09-08	Lower house	Meeting of the 29th Tweede Kamer	Session 26	Meeting 98	Sitting 2020-09-08	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DanielKoerhuis	Koerhuis, Daniel	M	1981	
ParlaMint-NL-en_2020-09-08-tweedekamer-26	ParlaMint-NL_2020-09-08-tweedekamer-26.u3	Report of the meeting of the Dutch Lower House, Meeting 98, Session 26 (2020-09-08)	2020-09-08	Lower house	Meeting of the 29th Tweede Kamer	Session 26	Meeting 98	Sitting 2020-09-08	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DanielKoerhuis	Koerhuis, Daniel	M	1981	
ParlaMint-NL-en_2020-09-08-tweedekamer-26	ParlaMint-NL_2020-09-08-tweedekamer-26.u4	Report of the meeting of the Dutch Lower House, Meeting 98, Session 26 (2020-09-08)	2020-09-08	Lower house	Meeting of the 29th Tweede Kamer	Session 26	Meeting 98	Sitting 2020-09-08	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-09-08-tweedekamer-26	ParlaMint-NL_2020-09-08-tweedekamer-26.u5	Report of the meeting of the Dutch Lower House, Meeting 98, Session 26 (2020-09-08)	2020-09-08	Lower house	Meeting of the 29th Tweede Kamer	Session 26	Meeting 98	Sitting 2020-09-08	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	PaulSmeulders	Smeulders, Paul	M	1987	
ParlaMint-NL-en_2020-09-08-tweedekamer-26	ParlaMint-NL_2020-09-08-tweedekamer-26.u6	Report of the meeting of the Dutch Lower House, Meeting 98, Session 26 (2020-09-08)	2020-09-08	Lower house	Meeting of the 29th Tweede Kamer	Session 26	Meeting 98	Sitting 2020-09-08	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-09-08-tweedekamer-26	ParlaMint-NL_2020-09-08-tweedekamer-26.u7	Report of the meeting of the Dutch Lower House, Meeting 98, Session 26 (2020-09-08)	2020-09-08	Lower house	Meeting of the 29th Tweede Kamer	Session 26	Meeting 98	Sitting 2020-09-08	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DanielKoerhuis	Koerhuis, Daniel	M	1981	
ParlaMint-NL-en_2020-09-08-tweedekamer-26	ParlaMint-NL_2020-09-08-tweedekamer-26.u8	Report of the meeting of the Dutch Lower House, Meeting 98, Session 26 (2020-09-08)	2020-09-08	Lower house	Meeting of the 29th Tweede Kamer	Session 26	Meeting 98	Sitting 2020-09-08	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2020-09-08-tweedekamer-26	ParlaMint-NL_2020-09-08-tweedekamer-26.u9	Report of the meeting of the Dutch Lower House, Meeting 98, Session 26 (2020-09-08)	2020-09-08	Lower house	Meeting of the 29th Tweede Kamer	Session 26	Meeting 98	Sitting 2020-09-08	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	DanielKoerhuis	Koerhuis, Daniel	M	1981	
ParlaMint-NL-en_2020-09-08-tweedekamer-26	ParlaMint-NL_2020-09-08-tweedekamer-26.u10	Report of the meeting of the Dutch Lower House, Meeting 98, Session 26 (2020-09-08)	2020-09-08	Lower house	Meeting of the 29th Tweede Kamer	Session 26	Meeting 98	Sitting 2020-09-08	-	COVID	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	JessicavanEijs	van Eijs, Jessica	F	1981	
