Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-06-16-eerstekamer-12	ParlaMint-NL_2020-06-16-eerstekamer-12.u1	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2020-06-16)	2020-06-16	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 32	Sitting 2020-06-16	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-06-16-eerstekamer-12	ParlaMint-NL_2020-06-16-eerstekamer-12.u2	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2020-06-16)	2020-06-16	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 32	Sitting 2020-06-16	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-06-16-eerstekamer-12	ParlaMint-NL_2020-06-16-eerstekamer-12.u3	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2020-06-16)	2020-06-16	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 32	Sitting 2020-06-16	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	FarahKarimi	Karimi, Farah	F	1960	
ParlaMint-NL-en_2020-06-16-eerstekamer-12	ParlaMint-NL_2020-06-16-eerstekamer-12.u4	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2020-06-16)	2020-06-16	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 32	Sitting 2020-06-16	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-06-16-eerstekamer-12	ParlaMint-NL_2020-06-16-eerstekamer-12.u5	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2020-06-16)	2020-06-16	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 32	Sitting 2020-06-16	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	PetervanderVoort	van der Voort, Peter	M	1964	
ParlaMint-NL-en_2020-06-16-eerstekamer-12	ParlaMint-NL_2020-06-16-eerstekamer-12.u6	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2020-06-16)	2020-06-16	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 32	Sitting 2020-06-16	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-06-16-eerstekamer-12	ParlaMint-NL_2020-06-16-eerstekamer-12.u7	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2020-06-16)	2020-06-16	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 32	Sitting 2020-06-16	-	COVID	English	Regular	notMP	notMinister	CU	ChristenUnie	Coalition	Centre-right	PeterEster	Ester, Peter	M	1953	
ParlaMint-NL-en_2020-06-16-eerstekamer-12	ParlaMint-NL_2020-06-16-eerstekamer-12.u8	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2020-06-16)	2020-06-16	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 32	Sitting 2020-06-16	-	COVID	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	Opposition	Far-right	HenkOtten	Otten, Henk	M	1967	
ParlaMint-NL-en_2020-06-16-eerstekamer-12	ParlaMint-NL_2020-06-16-eerstekamer-12.u9	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2020-06-16)	2020-06-16	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 32	Sitting 2020-06-16	-	COVID	English	Regular	notMP	notMinister	CU	ChristenUnie	Coalition	Centre-right	PeterEster	Ester, Peter	M	1953	
ParlaMint-NL-en_2020-06-16-eerstekamer-12	ParlaMint-NL_2020-06-16-eerstekamer-12.u10	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2020-06-16)	2020-06-16	Upper house	Meeting of the 36th Eerste Kamer	Session 12	Meeting 32	Sitting 2020-06-16	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
