Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-06-02-eerstekamer-5	ParlaMint-NL_2020-06-02-eerstekamer-5.u1	Report of the meeting of the Dutch Upper House, Meeting 29, Session 5 (2020-06-02)	2020-06-02	Upper house	Meeting of the 36th Eerste Kamer	Session 5	Meeting 29	Sitting 2020-06-02	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-06-02-eerstekamer-5	ParlaMint-NL_2020-06-02-eerstekamer-5.u2	Report of the meeting of the Dutch Upper House, Meeting 29, Session 5 (2020-06-02)	2020-06-02	Upper house	Meeting of the 36th Eerste Kamer	Session 5	Meeting 29	Sitting 2020-06-02	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-06-02-eerstekamer-5	ParlaMint-NL_2020-06-02-eerstekamer-5.u3	Report of the meeting of the Dutch Upper House, Meeting 29, Session 5 (2020-06-02)	2020-06-02	Upper house	Meeting of the 36th Eerste Kamer	Session 5	Meeting 29	Sitting 2020-06-02	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	RenevanderLinden	van der Linden, Rene	M	1943	
ParlaMint-NL-en_2020-06-02-eerstekamer-5	ParlaMint-NL_2020-06-02-eerstekamer-5.u4	Report of the meeting of the Dutch Upper House, Meeting 29, Session 5 (2020-06-02)	2020-06-02	Upper house	Meeting of the 36th Eerste Kamer	Session 5	Meeting 29	Sitting 2020-06-02	-	COVID	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	Opposition	Far-right	HenkOtten	Otten, Henk	M	1967	
ParlaMint-NL-en_2020-06-02-eerstekamer-5	ParlaMint-NL_2020-06-02-eerstekamer-5.u5	Report of the meeting of the Dutch Upper House, Meeting 29, Session 5 (2020-06-02)	2020-06-02	Upper house	Meeting of the 36th Eerste Kamer	Session 5	Meeting 29	Sitting 2020-06-02	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	RenevanderLinden	van der Linden, Rene	M	1943	
ParlaMint-NL-en_2020-06-02-eerstekamer-5	ParlaMint-NL_2020-06-02-eerstekamer-5.u6	Report of the meeting of the Dutch Upper House, Meeting 29, Session 5 (2020-06-02)	2020-06-02	Upper house	Meeting of the 36th Eerste Kamer	Session 5	Meeting 29	Sitting 2020-06-02	-	COVID	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	Opposition	Far-right	HenkOtten	Otten, Henk	M	1967	
ParlaMint-NL-en_2020-06-02-eerstekamer-5	ParlaMint-NL_2020-06-02-eerstekamer-5.u7	Report of the meeting of the Dutch Upper House, Meeting 29, Session 5 (2020-06-02)	2020-06-02	Upper house	Meeting of the 36th Eerste Kamer	Session 5	Meeting 29	Sitting 2020-06-02	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	RenevanderLinden	van der Linden, Rene	M	1943	
ParlaMint-NL-en_2020-06-02-eerstekamer-5	ParlaMint-NL_2020-06-02-eerstekamer-5.u8	Report of the meeting of the Dutch Upper House, Meeting 29, Session 5 (2020-06-02)	2020-06-02	Upper house	Meeting of the 36th Eerste Kamer	Session 5	Meeting 29	Sitting 2020-06-02	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-06-02-eerstekamer-5	ParlaMint-NL_2020-06-02-eerstekamer-5.u9	Report of the meeting of the Dutch Upper House, Meeting 29, Session 5 (2020-06-02)	2020-06-02	Upper house	Meeting of the 36th Eerste Kamer	Session 5	Meeting 29	Sitting 2020-06-02	-	COVID	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	Opposition	Far-right	HenkOtten	Otten, Henk	M	1967	
ParlaMint-NL-en_2020-06-02-eerstekamer-5	ParlaMint-NL_2020-06-02-eerstekamer-5.u10	Report of the meeting of the Dutch Upper House, Meeting 29, Session 5 (2020-06-02)	2020-06-02	Upper house	Meeting of the 36th Eerste Kamer	Session 5	Meeting 29	Sitting 2020-06-02	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
