Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2020-04-21-eerstekamer-9	ParlaMint-NL_2020-04-21-eerstekamer-9.u1	Report of the meeting of the Dutch Upper House, Meeting 25, Session 9 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 25	Sitting 2020-04-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-04-21-eerstekamer-9	ParlaMint-NL_2020-04-21-eerstekamer-9.u2	Report of the meeting of the Dutch Upper House, Meeting 25, Session 9 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 25	Sitting 2020-04-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-04-21-eerstekamer-9	ParlaMint-NL_2020-04-21-eerstekamer-9.u3	Report of the meeting of the Dutch Upper House, Meeting 25, Session 9 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 25	Sitting 2020-04-21	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	KeesVendrik	Vendrik, Kees	M	1963	
ParlaMint-NL-en_2020-04-21-eerstekamer-9	ParlaMint-NL_2020-04-21-eerstekamer-9.u4	Report of the meeting of the Dutch Upper House, Meeting 25, Session 9 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 25	Sitting 2020-04-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-04-21-eerstekamer-9	ParlaMint-NL_2020-04-21-eerstekamer-9.u5	Report of the meeting of the Dutch Upper House, Meeting 25, Session 9 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 25	Sitting 2020-04-21	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	BastiaanvanApeldoorn	van Apeldoorn, Bastiaan	M	1970	
ParlaMint-NL-en_2020-04-21-eerstekamer-9	ParlaMint-NL_2020-04-21-eerstekamer-9.u6	Report of the meeting of the Dutch Upper House, Meeting 25, Session 9 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 25	Sitting 2020-04-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-04-21-eerstekamer-9	ParlaMint-NL_2020-04-21-eerstekamer-9.u7	Report of the meeting of the Dutch Upper House, Meeting 25, Session 9 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 25	Sitting 2020-04-21	-	COVID	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	Esther-MirjamSent	Sent, Esther-Mirjam	F	1967	
ParlaMint-NL-en_2020-04-21-eerstekamer-9	ParlaMint-NL_2020-04-21-eerstekamer-9.u8	Report of the meeting of the Dutch Upper House, Meeting 25, Session 9 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 25	Sitting 2020-04-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2020-04-21-eerstekamer-9	ParlaMint-NL_2020-04-21-eerstekamer-9.u9	Report of the meeting of the Dutch Upper House, Meeting 25, Session 9 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 25	Sitting 2020-04-21	-	COVID	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	Opposition	Far-right	HenkOtten	Otten, Henk	M	1967	
ParlaMint-NL-en_2020-04-21-eerstekamer-9	ParlaMint-NL_2020-04-21-eerstekamer-9.u10	Report of the meeting of the Dutch Upper House, Meeting 25, Session 9 (2020-04-21)	2020-04-21	Upper house	Meeting of the 36th Eerste Kamer	Session 9	Meeting 25	Sitting 2020-04-21	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	RenevanderLinden	van der Linden, Rene	M	1943	
