Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-005-005	ParlaMint-CZ_2021-05-05-ps2017-101-01-005-005.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/005	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-005-005	ParlaMint-CZ_2021-05-05-ps2017-101-01-005-005.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/005	COVID	English	Guest	notMP	Minister	-	-	-	-	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-005-005	ParlaMint-CZ_2021-05-05-ps2017-101-01-005-005.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/005	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-005-005	ParlaMint-CZ_2021-05-05-ps2017-101-01-005-005.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/005	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	IvaKalatova.1962	Kalátová, Iva	F	1962	
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-005-005	ParlaMint-CZ_2021-05-05-ps2017-101-01-005-005.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/005	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-005-005	ParlaMint-CZ_2021-05-05-ps2017-101-01-005-005.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/005	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	MikulasFerjencik.1987	Ferjenčík, Mikuláš	M	1987	
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-005-005	ParlaMint-CZ_2021-05-05-ps2017-101-01-005-005.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/005	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
