Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-004-004	ParlaMint-CZ_2021-05-05-ps2017-101-01-004-004.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/004	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-004-004	ParlaMint-CZ_2021-05-05-ps2017-101-01-004-004.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/004	COVID	English	Guest	notMP	Minister	-	-	-	-	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-004-004	ParlaMint-CZ_2021-05-05-ps2017-101-01-004-004.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/004	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-004-004	ParlaMint-CZ_2021-05-05-ps2017-101-01-004-004.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/004	COVID	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-004-004	ParlaMint-CZ_2021-05-05-ps2017-101-01-004-004.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/004	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-004-004	ParlaMint-CZ_2021-05-05-ps2017-101-01-004-004.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/004	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MilanFeranec.1964	Feranec, Milan	M	1964	
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-004-004	ParlaMint-CZ_2021-05-05-ps2017-101-01-004-004.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/004	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-004-004	ParlaMint-CZ_2021-05-05-ps2017-101-01-004-004.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/004	COVID	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	JanHrncir.1977	Hrnčíř, Jan	M	1977	
ParlaMint-CZ-en_2021-05-05-ps2017-101-01-004-004	ParlaMint-CZ_2021-05-05-ps2017-101-01-004-004.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-05-05	2021-05-05	Lower house	ps2017	-	ps2017/101	ps2017/101/01	ps2017/101/004	COVID	English	Chairperson	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
