Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2021-06-01-ps2017-104-04-002-005	ParlaMint-CZ_2021-06-01-ps2017-104-04-002-005.u1	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-01	2021-06-01	Lower house	ps2017	-	ps2017/104	ps2017/104/04	ps2017/104/005	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2021-06-01-ps2017-104-04-002-005	ParlaMint-CZ_2021-06-01-ps2017-104-04-002-005.u2	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-01	2021-06-01	Lower house	ps2017	-	ps2017/104	ps2017/104/04	ps2017/104/005	COVID	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RomanKubicek.1963	Kubíček, Roman	M	1963	
ParlaMint-CZ-en_2021-06-01-ps2017-104-04-002-005	ParlaMint-CZ_2021-06-01-ps2017-104-04-002-005.u3	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-01	2021-06-01	Lower house	ps2017	-	ps2017/104	ps2017/104/04	ps2017/104/005	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2021-06-01-ps2017-104-04-002-005	ParlaMint-CZ_2021-06-01-ps2017-104-04-002-005.u4	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-01	2021-06-01	Lower house	ps2017	-	ps2017/104	ps2017/104/04	ps2017/104/005	COVID	English	Guest	MP	Minister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2021-06-01-ps2017-104-04-002-005	ParlaMint-CZ_2021-06-01-ps2017-104-04-002-005.u5	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-01	2021-06-01	Lower house	ps2017	-	ps2017/104	ps2017/104/04	ps2017/104/005	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2021-06-01-ps2017-104-04-002-005	ParlaMint-CZ_2021-06-01-ps2017-104-04-002-005.u6	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-01	2021-06-01	Lower house	ps2017	-	ps2017/104	ps2017/104/04	ps2017/104/005	COVID	English	Guest	MP	notMinister	-	-	-	-	TomasGolan	Goláň, Tomáš	M	-	
ParlaMint-CZ-en_2021-06-01-ps2017-104-04-002-005	ParlaMint-CZ_2021-06-01-ps2017-104-04-002-005.u7	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-01	2021-06-01	Lower house	ps2017	-	ps2017/104	ps2017/104/04	ps2017/104/005	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2021-06-01-ps2017-104-04-002-005	ParlaMint-CZ_2021-06-01-ps2017-104-04-002-005.u8	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-01	2021-06-01	Lower house	ps2017	-	ps2017/104	ps2017/104/04	ps2017/104/005	COVID	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	OndrejProfant.1988	Profant, Ondřej	M	1988	
ParlaMint-CZ-en_2021-06-01-ps2017-104-04-002-005	ParlaMint-CZ_2021-06-01-ps2017-104-04-002-005.u9	Parliament of the Czech Republic, Chamber of Deputies, 2021-06-01	2021-06-01	Lower house	ps2017	-	ps2017/104	ps2017/104/04	ps2017/104/005	COVID	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
