Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2019-04-17-S1-commons	ParlaMint-GR_2019-04-17-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 112, 2019-04-17	2019-04-17	Unicameralism	17	4	-	112	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΧΡΙΣΤΟΔΟΥΛΟΠΟΥΛΟΥ_ΖΑΧΑΡΙΑ_ΑΝΑΣΤΑΣΙΑ	Christodoylopoyloy, Anastasia	F	-	
ParlaMint-GR-en_2019-04-17-S1-commons	ParlaMint-GR_2019-04-17-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 112, 2019-04-17	2019-04-17	Unicameralism	17	4	-	112	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΧΡΙΣΤΟΔΟΥΛΟΠΟΥΛΟΥ_ΖΑΧΑΡΙΑ_ΑΝΑΣΤΑΣΙΑ	Christodoylopoyloy, Anastasia	F	-	
ParlaMint-GR-en_2019-04-17-S1-commons	ParlaMint-GR_2019-04-17-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 112, 2019-04-17	2019-04-17	Unicameralism	17	4	-	112	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΗΓΟΥΜΕΝΙΔΗΣ_ΕΜΜΑΝΟΥΗΛ_ΝΙΚΟΛΑΟΣ	Īgoymenidīs, Nikolaos	M	-	
ParlaMint-GR-en_2019-04-17-S1-commons	ParlaMint-GR_2019-04-17-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 112, 2019-04-17	2019-04-17	Unicameralism	17	4	-	112	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΧΡΙΣΤΟΔΟΥΛΟΠΟΥΛΟΥ_ΖΑΧΑΡΙΑ_ΑΝΑΣΤΑΣΙΑ	Christodoylopoyloy, Anastasia	F	-	
ParlaMint-GR-en_2019-04-17-S1-commons	ParlaMint-GR_2019-04-17-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 112, 2019-04-17	2019-04-17	Unicameralism	17	4	-	112	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΜΗΤΑΦΙΔΗΣ_ΑΝΔΡΕΑ_ΤΡΙΑΝΤΑΦΥΛΛΟΣ	Mītafidīs, Triantafyllos	M	-	
ParlaMint-GR-en_2019-04-17-S1-commons	ParlaMint-GR_2019-04-17-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 112, 2019-04-17	2019-04-17	Unicameralism	17	4	-	112	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΧΡΙΣΤΟΔΟΥΛΟΠΟΥΛΟΥ_ΖΑΧΑΡΙΑ_ΑΝΑΣΤΑΣΙΑ	Christodoylopoyloy, Anastasia	F	-	
ParlaMint-GR-en_2019-04-17-S1-commons	ParlaMint-GR_2019-04-17-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 112, 2019-04-17	2019-04-17	Unicameralism	17	4	-	112	-	Reference	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΜΗΤΑΦΙΔΗΣ_ΑΝΔΡΕΑ_ΤΡΙΑΝΤΑΦΥΛΛΟΣ	Mītafidīs, Triantafyllos	M	-	
ParlaMint-GR-en_2019-04-17-S1-commons	ParlaMint-GR_2019-04-17-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 112, 2019-04-17	2019-04-17	Unicameralism	17	4	-	112	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΧΡΙΣΤΟΔΟΥΛΟΠΟΥΛΟΥ_ΖΑΧΑΡΙΑ_ΑΝΑΣΤΑΣΙΑ	Christodoylopoyloy, Anastasia	F	-	
ParlaMint-GR-en_2019-04-17-S1-commons	ParlaMint-GR_2019-04-17-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 112, 2019-04-17	2019-04-17	Unicameralism	17	4	-	112	-	Reference	English	Regular	MP	notMinister	N.D.	New Democracy	Opposition	Centre-right	ΤΖΑΒΑΡΑΣ_ΓΕΩΡΓΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Tzavaras, Kōnstantinos	M	-	
ParlaMint-GR-en_2019-04-17-S1-commons	ParlaMint-GR_2019-04-17-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 17, session 4, sitting 112, 2019-04-17	2019-04-17	Unicameralism	17	4	-	112	-	Reference	English	Chairperson	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Coalition	Centre-left to left	ΧΡΙΣΤΟΔΟΥΛΟΠΟΥΛΟΥ_ΖΑΧΑΡΙΑ_ΑΝΑΣΤΑΣΙΑ	Christodoylopoyloy, Anastasia	F	-	
