Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-07-07-54-commissie-ic213x	ParlaMint-BE_2015-07-07-54-commissie-ic213x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-07-2015	2015-07-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DedeckerPeter	Dedecker, Peter	M	1983	
ParlaMint-BE-en_2015-07-07-54-commissie-ic213x	ParlaMint-BE_2015-07-07-54-commissie-ic213x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-07-2015	2015-07-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	SleursElke	Sleurs, Elke	F	1968	
ParlaMint-BE-en_2015-07-07-54-commissie-ic213x	ParlaMint-BE_2015-07-07-54-commissie-ic213x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-07-2015	2015-07-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	DedeckerPeter	Dedecker, Peter	M	1983	
ParlaMint-BE-en_2015-07-07-54-commissie-ic213x	ParlaMint-BE_2015-07-07-54-commissie-ic213x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-07-2015	2015-07-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	FlahauxJeanJacques	Flahaux, Jean-Jacques	M	1955	
ParlaMint-BE-en_2015-07-07-54-commissie-ic213x	ParlaMint-BE_2015-07-07-54-commissie-ic213x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-07-2015	2015-07-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2015-07-07-54-commissie-ic213x	ParlaMint-BE_2015-07-07-54-commissie-ic213x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-07-2015	2015-07-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	SleursElke	Sleurs, Elke	F	1968	
ParlaMint-BE-en_2015-07-07-54-commissie-ic213x	ParlaMint-BE_2015-07-07-54-commissie-ic213x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-07-2015	2015-07-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	FlahauxJeanJacques	Flahaux, Jean-Jacques	M	1955	
ParlaMint-BE-en_2015-07-07-54-commissie-ic213x	ParlaMint-BE_2015-07-07-54-commissie-ic213x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-07-2015	2015-07-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	MatzVanessa	Matz, Vanessa	F	1973	
ParlaMint-BE-en_2015-07-07-54-commissie-ic213x	ParlaMint-BE_2015-07-07-54-commissie-ic213x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-07-2015	2015-07-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	SleursElke	Sleurs, Elke	F	1968	
ParlaMint-BE-en_2015-07-07-54-commissie-ic213x	ParlaMint-BE_2015-07-07-54-commissie-ic213x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 07-07-2015	2015-07-07	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	MatzVanessa	Matz, Vanessa	F	1973	
