Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2016-10-25-ps2013-050-05-007-034	ParlaMint-CZ_2016-10-25-ps2013-050-05-007-034.u1	Parliament of the Czech Republic, Chamber of Deputies, 2016-10-25	2016-10-25	Lower house	ps2013	-	ps2013/050	ps2013/050/05	ps2013/050/034	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-10-25-ps2013-050-05-007-034	ParlaMint-CZ_2016-10-25-ps2013-050-05-007-034.u2	Parliament of the Czech Republic, Chamber of Deputies, 2016-10-25	2016-10-25	Lower house	ps2013	-	ps2013/050	ps2013/050/05	ps2013/050/034	Reference	English	Regular	notMP	Minister	-	-	-	-	MichaelaMarksova.1969	Marksová, Michaela	F	1969	
ParlaMint-CZ-en_2016-10-25-ps2013-050-05-007-034	ParlaMint-CZ_2016-10-25-ps2013-050-05-007-034.u3	Parliament of the Czech Republic, Chamber of Deputies, 2016-10-25	2016-10-25	Lower house	ps2013	-	ps2013/050	ps2013/050/05	ps2013/050/034	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-10-25-ps2013-050-05-007-034	ParlaMint-CZ_2016-10-25-ps2013-050-05-007-034.u4	Parliament of the Czech Republic, Chamber of Deputies, 2016-10-25	2016-10-25	Lower house	ps2013	-	ps2013/050	ps2013/050/05	ps2013/050/034	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JaroslavZavadil.1944	Zavadil, Jaroslav	M	1944	
ParlaMint-CZ-en_2016-10-25-ps2013-050-05-007-034	ParlaMint-CZ_2016-10-25-ps2013-050-05-007-034.u5	Parliament of the Czech Republic, Chamber of Deputies, 2016-10-25	2016-10-25	Lower house	ps2013	-	ps2013/050	ps2013/050/05	ps2013/050/034	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-10-25-ps2013-050-05-007-034	ParlaMint-CZ_2016-10-25-ps2013-050-05-007-034.u6	Parliament of the Czech Republic, Chamber of Deputies, 2016-10-25	2016-10-25	Lower house	ps2013	-	ps2013/050	ps2013/050/05	ps2013/050/034	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2016-10-25-ps2013-050-05-007-034	ParlaMint-CZ_2016-10-25-ps2013-050-05-007-034.u7	Parliament of the Czech Republic, Chamber of Deputies, 2016-10-25	2016-10-25	Lower house	ps2013	-	ps2013/050	ps2013/050/05	ps2013/050/034	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-10-25-ps2013-050-05-007-034	ParlaMint-CZ_2016-10-25-ps2013-050-05-007-034.u8	Parliament of the Czech Republic, Chamber of Deputies, 2016-10-25	2016-10-25	Lower house	ps2013	-	ps2013/050	ps2013/050/05	ps2013/050/034	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2016-10-25-ps2013-050-05-007-034	ParlaMint-CZ_2016-10-25-ps2013-050-05-007-034.u9	Parliament of the Czech Republic, Chamber of Deputies, 2016-10-25	2016-10-25	Lower house	ps2013	-	ps2013/050	ps2013/050/05	ps2013/050/034	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-10-25-ps2013-050-05-007-034	ParlaMint-CZ_2016-10-25-ps2013-050-05-007-034.u10	Parliament of the Czech Republic, Chamber of Deputies, 2016-10-25	2016-10-25	Lower house	ps2013	-	ps2013/050	ps2013/050/05	ps2013/050/034	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2016-10-25-ps2013-050-05-007-034	ParlaMint-CZ_2016-10-25-ps2013-050-05-007-034.u11	Parliament of the Czech Republic, Chamber of Deputies, 2016-10-25	2016-10-25	Lower house	ps2013	-	ps2013/050	ps2013/050/05	ps2013/050/034	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
