Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-010-008	ParlaMint-CZ_2016-09-07-ps2013-049-02-010-008.u1	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/008	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-010-008	ParlaMint-CZ_2016-09-07-ps2013-049-02-010-008.u2	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/008	Reference	English	Guest	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-010-008	ParlaMint-CZ_2016-09-07-ps2013-049-02-010-008.u3	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/008	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-010-008	ParlaMint-CZ_2016-09-07-ps2013-049-02-010-008.u4	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/008	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	VaclavVotava.1956	Votava, Václav	M	1956	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-010-008	ParlaMint-CZ_2016-09-07-ps2013-049-02-010-008.u5	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/008	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-010-008	ParlaMint-CZ_2016-09-07-ps2013-049-02-010-008.u6	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/008	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	VaclavVotava.1956	Votava, Václav	M	1956	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-010-008	ParlaMint-CZ_2016-09-07-ps2013-049-02-010-008.u7	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/008	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-010-008	ParlaMint-CZ_2016-09-07-ps2013-049-02-010-008.u8	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/008	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MartinPlisek.1974	Plíšek, Martin	M	1974	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-010-008	ParlaMint-CZ_2016-09-07-ps2013-049-02-010-008.u9	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/008	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-010-008	ParlaMint-CZ_2016-09-07-ps2013-049-02-010-008.u10	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/008	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	SonaMarkova.1963	Marková, Soňa	F	1963	
ParlaMint-CZ-en_2016-09-07-ps2013-049-02-010-008	ParlaMint-CZ_2016-09-07-ps2013-049-02-010-008.u11	Parliament of the Czech Republic, Chamber of Deputies, 2016-09-07	2016-09-07	Lower house	ps2013	-	ps2013/049	ps2013/049/02	ps2013/049/008	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
