Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2016-11-10-ps2013-050-10-006-165	ParlaMint-CZ_2016-11-10-ps2013-050-10-006-165.u1	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-10	2016-11-10	Lower house	ps2013	-	ps2013/050	ps2013/050/10	ps2013/050/165	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-11-10-ps2013-050-10-006-165	ParlaMint-CZ_2016-11-10-ps2013-050-10-006-165.u2	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-10	2016-11-10	Lower house	ps2013	-	ps2013/050	ps2013/050/10	ps2013/050/165	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	JanKlan.1982	Klán, Jan	M	1982	
ParlaMint-CZ-en_2016-11-10-ps2013-050-10-006-165	ParlaMint-CZ_2016-11-10-ps2013-050-10-006-165.u3	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-10	2016-11-10	Lower house	ps2013	-	ps2013/050	ps2013/050/10	ps2013/050/165	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-11-10-ps2013-050-10-006-165	ParlaMint-CZ_2016-11-10-ps2013-050-10-006-165.u4	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-10	2016-11-10	Lower house	ps2013	-	ps2013/050	ps2013/050/10	ps2013/050/165	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	IvanPilny.1944	Pilný, Ivan	M	1944	
ParlaMint-CZ-en_2016-11-10-ps2013-050-10-006-165	ParlaMint-CZ_2016-11-10-ps2013-050-10-006-165.u5	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-10	2016-11-10	Lower house	ps2013	-	ps2013/050	ps2013/050/10	ps2013/050/165	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-11-10-ps2013-050-10-006-165	ParlaMint-CZ_2016-11-10-ps2013-050-10-006-165.u6	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-10	2016-11-10	Lower house	ps2013	-	ps2013/050	ps2013/050/10	ps2013/050/165	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	JanZahradnik.1949	Zahradník, Jan	M	1949	
ParlaMint-CZ-en_2016-11-10-ps2013-050-10-006-165	ParlaMint-CZ_2016-11-10-ps2013-050-10-006-165.u7	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-10	2016-11-10	Lower house	ps2013	-	ps2013/050	ps2013/050/10	ps2013/050/165	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2016-11-10-ps2013-050-10-006-165	ParlaMint-CZ_2016-11-10-ps2013-050-10-006-165.u8	Parliament of the Czech Republic, Chamber of Deputies, 2016-11-10	2016-11-10	Lower house	ps2013	-	ps2013/050	ps2013/050/10	ps2013/050/165	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
