Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2018-06-01-CD180601	ParlaMint-ES_2018-06-01-CD180601.u1	Plenary session 122 (2018-06-01)	2018-06-01	Lower house	Legislatura XII	Sesión plenaria núm. 122	-	2018-06-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-06-01-CD180601	ParlaMint-ES_2018-06-01-CD180601.u2	Plenary session 122 (2018-06-01)	2018-06-01	Lower house	Legislatura XII	Sesión plenaria núm. 122	-	2018-06-01	-	Reference	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	MargaritaRoblesFernández	Robles Fernández, Margarita	F	1956	
ParlaMint-ES-en_2018-06-01-CD180601	ParlaMint-ES_2018-06-01-CD180601.u3	Plenary session 122 (2018-06-01)	2018-06-01	Lower house	Legislatura XII	Sesión plenaria núm. 122	-	2018-06-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-06-01-CD180601	ParlaMint-ES_2018-06-01-CD180601.u4	Plenary session 122 (2018-06-01)	2018-06-01	Lower house	Legislatura XII	Sesión plenaria núm. 122	-	2018-06-01	-	Reference	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	MargaritaRoblesFernández	Robles Fernández, Margarita	F	1956	
ParlaMint-ES-en_2018-06-01-CD180601	ParlaMint-ES_2018-06-01-CD180601.u5	Plenary session 122 (2018-06-01)	2018-06-01	Lower house	Legislatura XII	Sesión plenaria núm. 122	-	2018-06-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-06-01-CD180601	ParlaMint-ES_2018-06-01-CD180601.u6	Plenary session 122 (2018-06-01)	2018-06-01	Lower house	Legislatura XII	Sesión plenaria núm. 122	-	2018-06-01	-	Reference	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	PedroSánchezPérezCastejón	Sánchez Pérez-Castejón, Pedro	M	1972	
ParlaMint-ES-en_2018-06-01-CD180601	ParlaMint-ES_2018-06-01-CD180601.u7	Plenary session 122 (2018-06-01)	2018-06-01	Lower house	Legislatura XII	Sesión plenaria núm. 122	-	2018-06-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-06-01-CD180601	ParlaMint-ES_2018-06-01-CD180601.u8	Plenary session 122 (2018-06-01)	2018-06-01	Lower house	Legislatura XII	Sesión plenaria núm. 122	-	2018-06-01	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	RafaelAntonioHernandoFraile	Hernando Fraile, Rafael Antonio	M	1961	
ParlaMint-ES-en_2018-06-01-CD180601	ParlaMint-ES_2018-06-01-CD180601.u9	Plenary session 122 (2018-06-01)	2018-06-01	Lower house	Legislatura XII	Sesión plenaria núm. 122	-	2018-06-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-06-01-CD180601	ParlaMint-ES_2018-06-01-CD180601.u10	Plenary session 122 (2018-06-01)	2018-06-01	Lower house	Legislatura XII	Sesión plenaria núm. 122	-	2018-06-01	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Coalition	Centre-right to right	RafaelAntonioHernandoFraile	Hernando Fraile, Rafael Antonio	M	1961	
ParlaMint-ES-en_2018-06-01-CD180601	ParlaMint-ES_2018-06-01-CD180601.u11	Plenary session 122 (2018-06-01)	2018-06-01	Lower house	Legislatura XII	Sesión plenaria núm. 122	-	2018-06-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2018-06-01-CD180601	ParlaMint-ES_2018-06-01-CD180601.u12	Plenary session 122 (2018-06-01)	2018-06-01	Lower house	Legislatura XII	Sesión plenaria núm. 122	-	2018-06-01	-	Reference	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Opposition	Centre-left	PedroSánchezPérezCastejón	Sánchez Pérez-Castejón, Pedro	M	1972	
ParlaMint-ES-en_2018-06-01-CD180601	ParlaMint-ES_2018-06-01-CD180601.u13	Plenary session 122 (2018-06-01)	2018-06-01	Lower house	Legislatura XII	Sesión plenaria núm. 122	-	2018-06-01	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
