Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2017-12-19-ps2017-004-03-002-034	ParlaMint-CZ_2017-12-19-ps2017-004-03-002-034.u1	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-19	2017-12-19	Lower house	ps2017	-	ps2017/004	ps2017/004/03	ps2017/004/034	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-12-19-ps2017-004-03-002-034	ParlaMint-CZ_2017-12-19-ps2017-004-03-002-034.u2	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-19	2017-12-19	Lower house	ps2017	-	ps2017/004	ps2017/004/03	ps2017/004/034	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2017-12-19-ps2017-004-03-002-034	ParlaMint-CZ_2017-12-19-ps2017-004-03-002-034.u3	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-19	2017-12-19	Lower house	ps2017	-	ps2017/004	ps2017/004/03	ps2017/004/034	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-12-19-ps2017-004-03-002-034	ParlaMint-CZ_2017-12-19-ps2017-004-03-002-034.u4	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-19	2017-12-19	Lower house	ps2017	-	ps2017/004	ps2017/004/03	ps2017/004/034	Reference	English	Regular	MP	notMinister	Piráti	Political group Czech Pirate Party	Opposition	Centre to centre-left	LukasCernohorsky.1984	Černohorský, Lukáš	M	1984	
ParlaMint-CZ-en_2017-12-19-ps2017-004-03-002-034	ParlaMint-CZ_2017-12-19-ps2017-004-03-002-034.u5	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-19	2017-12-19	Lower house	ps2017	-	ps2017/004	ps2017/004/03	ps2017/004/034	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-12-19-ps2017-004-03-002-034	ParlaMint-CZ_2017-12-19-ps2017-004-03-002-034.u6	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-19	2017-12-19	Lower house	ps2017	-	ps2017/004	ps2017/004/03	ps2017/004/034	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2017-12-19-ps2017-004-03-002-034	ParlaMint-CZ_2017-12-19-ps2017-004-03-002-034.u7	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-19	2017-12-19	Lower house	ps2017	-	ps2017/004	ps2017/004/03	ps2017/004/034	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-12-19-ps2017-004-03-002-034	ParlaMint-CZ_2017-12-19-ps2017-004-03-002-034.u8	Parliament of the Czech Republic, Chamber of Deputies, 2017-12-19	2017-12-19	Lower house	ps2017	-	ps2017/004	ps2017/004/03	ps2017/004/034	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
