Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2017-03-14-ps2013-055-09-008-265	ParlaMint-CZ_2017-03-14-ps2013-055-09-008-265.u1	Parliament of the Czech Republic, Chamber of Deputies, 2017-03-14	2017-03-14	Lower house	ps2013	-	ps2013/055	ps2013/055/09	ps2013/055/265	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-03-14-ps2013-055-09-008-265	ParlaMint-CZ_2017-03-14-ps2013-055-09-008-265.u2	Parliament of the Czech Republic, Chamber of Deputies, 2017-03-14	2017-03-14	Lower house	ps2013	-	ps2013/055	ps2013/055/09	ps2013/055/265	Reference	English	Guest	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	AndrejBabis.1954	Babiš, Andrej	M	1954	
ParlaMint-CZ-en_2017-03-14-ps2013-055-09-008-265	ParlaMint-CZ_2017-03-14-ps2013-055-09-008-265.u3	Parliament of the Czech Republic, Chamber of Deputies, 2017-03-14	2017-03-14	Lower house	ps2013	-	ps2013/055	ps2013/055/09	ps2013/055/265	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-03-14-ps2013-055-09-008-265	ParlaMint-CZ_2017-03-14-ps2013-055-09-008-265.u4	Parliament of the Czech Republic, Chamber of Deputies, 2017-03-14	2017-03-14	Lower house	ps2013	-	ps2013/055	ps2013/055/09	ps2013/055/265	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	VaclavVotava.1956	Votava, Václav	M	1956	
ParlaMint-CZ-en_2017-03-14-ps2013-055-09-008-265	ParlaMint-CZ_2017-03-14-ps2013-055-09-008-265.u5	Parliament of the Czech Republic, Chamber of Deputies, 2017-03-14	2017-03-14	Lower house	ps2013	-	ps2013/055	ps2013/055/09	ps2013/055/265	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-03-14-ps2013-055-09-008-265	ParlaMint-CZ_2017-03-14-ps2013-055-09-008-265.u6	Parliament of the Czech Republic, Chamber of Deputies, 2017-03-14	2017-03-14	Lower house	ps2013	-	ps2013/055	ps2013/055/09	ps2013/055/265	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VladimirKonicek.1964	Koníček, Vladimír	M	1964	
ParlaMint-CZ-en_2017-03-14-ps2013-055-09-008-265	ParlaMint-CZ_2017-03-14-ps2013-055-09-008-265.u7	Parliament of the Czech Republic, Chamber of Deputies, 2017-03-14	2017-03-14	Lower house	ps2013	-	ps2013/055	ps2013/055/09	ps2013/055/265	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-03-14-ps2013-055-09-008-265	ParlaMint-CZ_2017-03-14-ps2013-055-09-008-265.u8	Parliament of the Czech Republic, Chamber of Deputies, 2017-03-14	2017-03-14	Lower house	ps2013	-	ps2013/055	ps2013/055/09	ps2013/055/265	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VladimirKonicek.1964	Koníček, Vladimír	M	1964	
ParlaMint-CZ-en_2017-03-14-ps2013-055-09-008-265	ParlaMint-CZ_2017-03-14-ps2013-055-09-008-265.u9	Parliament of the Czech Republic, Chamber of Deputies, 2017-03-14	2017-03-14	Lower house	ps2013	-	ps2013/055	ps2013/055/09	ps2013/055/265	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2017-03-14-ps2013-055-09-008-265	ParlaMint-CZ_2017-03-14-ps2013-055-09-008-265.u10	Parliament of the Czech Republic, Chamber of Deputies, 2017-03-14	2017-03-14	Lower house	ps2013	-	ps2013/055	ps2013/055/09	ps2013/055/265	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	VaclavVotava.1956	Votava, Václav	M	1956	
ParlaMint-CZ-en_2017-03-14-ps2013-055-09-008-265	ParlaMint-CZ_2017-03-14-ps2013-055-09-008-265.u11	Parliament of the Czech Republic, Chamber of Deputies, 2017-03-14	2017-03-14	Lower house	ps2013	-	ps2013/055	ps2013/055/09	ps2013/055/265	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
