Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2017-05-26-ps2013-057-08-000-000	ParlaMint-CZ_2017-05-26-ps2013-057-08-000-000.u1	Parliament of the Czech Republic, Chamber of Deputies, 2017-05-26	2017-05-26	Lower house	ps2013	-	ps2013/057	ps2013/057/08	ps2013/057/000	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-05-26-ps2013-057-08-000-000	ParlaMint-CZ_2017-05-26-ps2013-057-08-000-000.u2	Parliament of the Czech Republic, Chamber of Deputies, 2017-05-26	2017-05-26	Lower house	ps2013	-	ps2013/057	ps2013/057/08	ps2013/057/000	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	RomanSklenak.1970	Sklenák, Roman	M	1970	
ParlaMint-CZ-en_2017-05-26-ps2013-057-08-000-000	ParlaMint-CZ_2017-05-26-ps2013-057-08-000-000.u3	Parliament of the Czech Republic, Chamber of Deputies, 2017-05-26	2017-05-26	Lower house	ps2013	-	ps2013/057	ps2013/057/08	ps2013/057/000	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
