Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-004-120	ParlaMint-CZ_2017-07-14-ps2013-059-08-004-120.u1	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/120	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-004-120	ParlaMint-CZ_2017-07-14-ps2013-059-08-004-120.u12	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/120	Reference	English	Regular	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	IvanPilny.1944	Pilný, Ivan	M	1944	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-004-120	ParlaMint-CZ_2017-07-14-ps2013-059-08-004-120.u13	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/120	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-004-120	ParlaMint-CZ_2017-07-14-ps2013-059-08-004-120.u14	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/120	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	ZdenekSoukup.1952	Soukup, Zdeněk	M	1952	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-004-120	ParlaMint-CZ_2017-07-14-ps2013-059-08-004-120.u15	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/120	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-004-120	ParlaMint-CZ_2017-07-14-ps2013-059-08-004-120.u16	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/120	Reference	English	Regular	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinStropnicky.1956	Stropnický, Martin	M	1956	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-004-120	ParlaMint-CZ_2017-07-14-ps2013-059-08-004-120.u17	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/120	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-004-120	ParlaMint-CZ_2017-07-14-ps2013-059-08-004-120.u18	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/120	Reference	English	Regular	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	MartinStropnicky.1956	Stropnický, Martin	M	1956	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-004-120	ParlaMint-CZ_2017-07-14-ps2013-059-08-004-120.u19	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/120	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-004-120	ParlaMint-CZ_2017-07-14-ps2013-059-08-004-120.u20	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/120	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	ZdenekSoukup.1952	Soukup, Zdeněk	M	1952	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-004-120	ParlaMint-CZ_2017-07-14-ps2013-059-08-004-120.u21	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/120	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-004-120	ParlaMint-CZ_2017-07-14-ps2013-059-08-004-120.u22	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/120	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	ZdenekSoukup.1952	Soukup, Zdeněk	M	1952	
ParlaMint-CZ-en_2017-07-14-ps2013-059-08-004-120	ParlaMint-CZ_2017-07-14-ps2013-059-08-004-120.u23	Parliament of the Czech Republic, Chamber of Deputies, 2017-07-14	2017-07-14	Lower house	ps2013	-	ps2013/059	ps2013/059/08	ps2013/059/120	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
