Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PL-en_2020-05-06-sejm-11-4	ParlaMint-PL_2020-05-06-sejm-11-4.u1	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 11, Day 4 (2020-05-06)	2020-05-06	Lower house	9. kadencja Sejmu	11. sesja Sejmu	-	4. dzień sesji Sejmu	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	DanielMilewski	Milewski, Daniel	M	-	
ParlaMint-PL-en_2020-05-06-sejm-11-4	ParlaMint-PL_2020-05-06-sejm-11-4.u2	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 11, Day 4 (2020-05-06)	2020-05-06	Lower house	9. kadencja Sejmu	11. sesja Sejmu	-	4. dzień sesji Sejmu	-	COVID	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2020-05-06-sejm-11-4	ParlaMint-PL_2020-05-06-sejm-11-4.u3	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 11, Day 4 (2020-05-06)	2020-05-06	Lower house	9. kadencja Sejmu	11. sesja Sejmu	-	4. dzień sesji Sejmu	-	COVID	English	Regular	MP	notMinister	Konfederacja	Koło Poselskie Konfederacja	Opposition	Far-right	GrzegorzBraun	Braun, Grzegorz	M	1967	
ParlaMint-PL-en_2020-05-06-sejm-11-4	ParlaMint-PL_2020-05-06-sejm-11-4.u4	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 11, Day 4 (2020-05-06)	2020-05-06	Lower house	9. kadencja Sejmu	11. sesja Sejmu	-	4. dzień sesji Sejmu	-	COVID	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2020-05-06-sejm-11-4	ParlaMint-PL_2020-05-06-sejm-11-4.u5	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 11, Day 4 (2020-05-06)	2020-05-06	Lower house	9. kadencja Sejmu	11. sesja Sejmu	-	4. dzień sesji Sejmu	-	COVID	English	Regular	MP	notMinister	Lewica	Koalicyjny Klub Parlamentarny Lewicy	Opposition	Centre-left to left	KrzysztofGawkowski	Gawkowski, Krzysztof	M	1980	
ParlaMint-PL-en_2020-05-06-sejm-11-4	ParlaMint-PL_2020-05-06-sejm-11-4.u6	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 11, Day 4 (2020-05-06)	2020-05-06	Lower house	9. kadencja Sejmu	11. sesja Sejmu	-	4. dzień sesji Sejmu	-	COVID	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2020-05-06-sejm-11-4	ParlaMint-PL_2020-05-06-sejm-11-4.u7	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 11, Day 4 (2020-05-06)	2020-05-06	Lower house	9. kadencja Sejmu	11. sesja Sejmu	-	4. dzień sesji Sejmu	-	COVID	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	BorysBudka	Budka, Borys	M	1978	
ParlaMint-PL-en_2020-05-06-sejm-11-4	ParlaMint-PL_2020-05-06-sejm-11-4.u8	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 11, Day 4 (2020-05-06)	2020-05-06	Lower house	9. kadencja Sejmu	11. sesja Sejmu	-	4. dzień sesji Sejmu	-	COVID	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2020-05-06-sejm-11-4	ParlaMint-PL_2020-05-06-sejm-11-4.u9	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 11, Day 4 (2020-05-06)	2020-05-06	Lower house	9. kadencja Sejmu	11. sesja Sejmu	-	4. dzień sesji Sejmu	-	COVID	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	RyszardBartosik	Bartosik, Ryszard	M	1968	
ParlaMint-PL-en_2020-05-06-sejm-11-4	ParlaMint-PL_2020-05-06-sejm-11-4.u10	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 11, Day 4 (2020-05-06)	2020-05-06	Lower house	9. kadencja Sejmu	11. sesja Sejmu	-	4. dzień sesji Sejmu	-	COVID	English	Chairperson	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	MałgorzataKidawaBłońska	Kidawa-Błońska, Małgorzata	F	1957	
