Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PL-en_2020-12-10-sejm-22-2	ParlaMint-PL_2020-12-10-sejm-22-2.u1	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 22, Day 2 (2020-12-10)	2020-12-10	Lower house	9. kadencja Sejmu	22. sesja Sejmu	-	2. dzień sesji Sejmu	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	UrszulaRusecka	Rusecka, Urszula	F	-	
ParlaMint-PL-en_2020-12-10-sejm-22-2	ParlaMint-PL_2020-12-10-sejm-22-2.u2	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 22, Day 2 (2020-12-10)	2020-12-10	Lower house	9. kadencja Sejmu	22. sesja Sejmu	-	2. dzień sesji Sejmu	-	COVID	English	Chairperson	MP	notMinister	KP-PSL	Koło Senatorów Koalicja Polska – Polskie Stronnictwo Ludowe	Opposition	Centre to centre-right	PiotrZgorzelski	Zgorzelski, Piotr	M	1963	
ParlaMint-PL-en_2020-12-10-sejm-22-2	ParlaMint-PL_2020-12-10-sejm-22-2.u3	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 22, Day 2 (2020-12-10)	2020-12-10	Lower house	9. kadencja Sejmu	22. sesja Sejmu	-	2. dzień sesji Sejmu	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	MagdalenaMaląg	Maląg, Magdalena	F	-	
ParlaMint-PL-en_2020-12-10-sejm-22-2	ParlaMint-PL_2020-12-10-sejm-22-2.u4	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 22, Day 2 (2020-12-10)	2020-12-10	Lower house	9. kadencja Sejmu	22. sesja Sejmu	-	2. dzień sesji Sejmu	-	COVID	English	Chairperson	MP	notMinister	KP-PSL	Koło Senatorów Koalicja Polska – Polskie Stronnictwo Ludowe	Opposition	Centre to centre-right	PiotrZgorzelski	Zgorzelski, Piotr	M	1963	
ParlaMint-PL-en_2020-12-10-sejm-22-2	ParlaMint-PL_2020-12-10-sejm-22-2.u5	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 22, Day 2 (2020-12-10)	2020-12-10	Lower house	9. kadencja Sejmu	22. sesja Sejmu	-	2. dzień sesji Sejmu	-	COVID	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	TeresaWargocka	Wargocka, Teresa	F	1955	
ParlaMint-PL-en_2020-12-10-sejm-22-2	ParlaMint-PL_2020-12-10-sejm-22-2.u6	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 22, Day 2 (2020-12-10)	2020-12-10	Lower house	9. kadencja Sejmu	22. sesja Sejmu	-	2. dzień sesji Sejmu	-	COVID	English	Chairperson	MP	notMinister	KP-PSL	Koło Senatorów Koalicja Polska – Polskie Stronnictwo Ludowe	Opposition	Centre to centre-right	PiotrZgorzelski	Zgorzelski, Piotr	M	1963	
ParlaMint-PL-en_2020-12-10-sejm-22-2	ParlaMint-PL_2020-12-10-sejm-22-2.u7	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 22, Day 2 (2020-12-10)	2020-12-10	Lower house	9. kadencja Sejmu	22. sesja Sejmu	-	2. dzień sesji Sejmu	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	MagdalenaMaląg	Maląg, Magdalena	F	-	
ParlaMint-PL-en_2020-12-10-sejm-22-2	ParlaMint-PL_2020-12-10-sejm-22-2.u8	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 22, Day 2 (2020-12-10)	2020-12-10	Lower house	9. kadencja Sejmu	22. sesja Sejmu	-	2. dzień sesji Sejmu	-	COVID	English	Chairperson	MP	notMinister	KP-PSL	Koło Senatorów Koalicja Polska – Polskie Stronnictwo Ludowe	Opposition	Centre to centre-right	PiotrZgorzelski	Zgorzelski, Piotr	M	1963	
ParlaMint-PL-en_2020-12-10-sejm-22-2	ParlaMint-PL_2020-12-10-sejm-22-2.u9	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 22, Day 2 (2020-12-10)	2020-12-10	Lower house	9. kadencja Sejmu	22. sesja Sejmu	-	2. dzień sesji Sejmu	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	PiotrNowak	Nowak, Piotr	M	-	
ParlaMint-PL-en_2020-12-10-sejm-22-2	ParlaMint-PL_2020-12-10-sejm-22-2.u10	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 22, Day 2 (2020-12-10)	2020-12-10	Lower house	9. kadencja Sejmu	22. sesja Sejmu	-	2. dzień sesji Sejmu	-	COVID	English	Chairperson	MP	notMinister	KP-PSL	Koło Senatorów Koalicja Polska – Polskie Stronnictwo Ludowe	Opposition	Centre to centre-right	PiotrZgorzelski	Zgorzelski, Piotr	M	1963	
