Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-000-000	ParlaMint-CZ_2022-06-17-ps2021-025-08-000-000.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/000	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-000-000	ParlaMint-CZ_2022-06-17-ps2021-025-08-000-000.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	RobertKralicek.1977	Králíček, Robert	M	1977	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-000-000	ParlaMint-CZ_2022-06-17-ps2021-025-08-000-000.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/000	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-000-000	ParlaMint-CZ_2022-06-17-ps2021-025-08-000-000.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	PatrikNacher.1974	Nacher, Patrik	M	1974	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-000-000	ParlaMint-CZ_2022-06-17-ps2021-025-08-000-000.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/000	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-000-000	ParlaMint-CZ_2022-06-17-ps2021-025-08-000-000.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	PatrikNacher.1974	Nacher, Patrik	M	1974	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-000-000	ParlaMint-CZ_2022-06-17-ps2021-025-08-000-000.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/000	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-000-000	ParlaMint-CZ_2022-06-17-ps2021-025-08-000-000.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	StanislavBerkovec.1956	Berkovec, Stanislav	M	1956	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-000-000	ParlaMint-CZ_2022-06-17-ps2021-025-08-000-000.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/000	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-000-000	ParlaMint-CZ_2022-06-17-ps2021-025-08-000-000.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/000	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2022-06-17-ps2021-025-08-000-000	ParlaMint-CZ_2022-06-17-ps2021-025-08-000-000.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-17	2022-06-17	Lower house	ps2021	-	ps2021/025	ps2021/025/08	ps2021/025/000	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
