Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-002-018	ParlaMint-CZ_2022-09-07-ps2021-035-02-002-018.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/018	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-002-018	ParlaMint-CZ_2022-09-07-ps2021-035-02-002-018.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/018	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-002-018	ParlaMint-CZ_2022-09-07-ps2021-035-02-002-018.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/018	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-002-018	ParlaMint-CZ_2022-09-07-ps2021-035-02-002-018.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/018	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-002-018	ParlaMint-CZ_2022-09-07-ps2021-035-02-002-018.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/018	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JiriHavranek.1992	Havránek, Jiří	M	1992	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-002-018	ParlaMint-CZ_2022-09-07-ps2021-035-02-002-018.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/018	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-002-018	ParlaMint-CZ_2022-09-07-ps2021-035-02-002-018.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/018	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-002-018	ParlaMint-CZ_2022-09-07-ps2021-035-02-002-018.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/018	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-002-018	ParlaMint-CZ_2022-09-07-ps2021-035-02-002-018.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/018	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	ZbynekStanjura.1964	Stanjura, Zbyněk	M	1964	
ParlaMint-CZ-en_2022-09-07-ps2021-035-02-002-018	ParlaMint-CZ_2022-09-07-ps2021-035-02-002-018.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-07	2022-09-07	Lower house	ps2021	-	ps2021/035	ps2021/035/02	ps2021/035/018	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
