Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-003-016	ParlaMint-CZ_2022-04-05-ps2021-016-05-003-016.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/016	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-003-016	ParlaMint-CZ_2022-04-05-ps2021-016-05-003-016.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/016	COVID,War	English	Regular	notMP	Minister	-	-	-	-	JozefSikela.1967	Síkela, Jozef	M	1967	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-003-016	ParlaMint-CZ_2022-04-05-ps2021-016-05-003-016.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/016	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-003-016	ParlaMint-CZ_2022-04-05-ps2021-016-05-003-016.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/016	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	JiriHajek.1961	Hájek, Jiří	M	1961	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-003-016	ParlaMint-CZ_2022-04-05-ps2021-016-05-003-016.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/016	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-003-016	ParlaMint-CZ_2022-04-05-ps2021-016-05-003-016.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/016	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-003-016	ParlaMint-CZ_2022-04-05-ps2021-016-05-003-016.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/016	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-003-016	ParlaMint-CZ_2022-04-05-ps2021-016-05-003-016.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/016	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	PetrVrana.1975	Vrána, Petr	M	1975	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-003-016	ParlaMint-CZ_2022-04-05-ps2021-016-05-003-016.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/016	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-003-016	ParlaMint-CZ_2022-04-05-ps2021-016-05-003-016.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/016	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	JiriHajek.1961	Hájek, Jiří	M	1961	
ParlaMint-CZ-en_2022-04-05-ps2021-016-05-003-016	ParlaMint-CZ_2022-04-05-ps2021-016-05-003-016.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-04-05	2022-04-05	Lower house	ps2021	-	ps2021/016	ps2021/016/05	ps2021/016/016	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
