Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-06-15-ps2021-025-06-005-024	ParlaMint-CZ_2022-06-15-ps2021-025-06-005-024.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-15	2022-06-15	Lower house	ps2021	-	ps2021/025	ps2021/025/06	ps2021/025/024	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-06-15-ps2021-025-06-005-024	ParlaMint-CZ_2022-06-15-ps2021-025-06-005-024.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-15	2022-06-15	Lower house	ps2021	-	ps2021/025	ps2021/025/06	ps2021/025/024	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	VladimiraLesenska.1964	Lesenská, Vladimíra	F	1964	
ParlaMint-CZ-en_2022-06-15-ps2021-025-06-005-024	ParlaMint-CZ_2022-06-15-ps2021-025-06-005-024.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-15	2022-06-15	Lower house	ps2021	-	ps2021/025	ps2021/025/06	ps2021/025/024	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-06-15-ps2021-025-06-005-024	ParlaMint-CZ_2022-06-15-ps2021-025-06-005-024.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-15	2022-06-15	Lower house	ps2021	-	ps2021/025	ps2021/025/06	ps2021/025/024	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	VladimiraLesenska.1964	Lesenská, Vladimíra	F	1964	
ParlaMint-CZ-en_2022-06-15-ps2021-025-06-005-024	ParlaMint-CZ_2022-06-15-ps2021-025-06-005-024.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-15	2022-06-15	Lower house	ps2021	-	ps2021/025	ps2021/025/06	ps2021/025/024	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-06-15-ps2021-025-06-005-024	ParlaMint-CZ_2022-06-15-ps2021-025-06-005-024.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-15	2022-06-15	Lower house	ps2021	-	ps2021/025	ps2021/025/06	ps2021/025/024	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	ZuzanaOzanova.1970	Ožanová, Zuzana	F	1970	
ParlaMint-CZ-en_2022-06-15-ps2021-025-06-005-024	ParlaMint-CZ_2022-06-15-ps2021-025-06-005-024.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-15	2022-06-15	Lower house	ps2021	-	ps2021/025	ps2021/025/06	ps2021/025/024	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-06-15-ps2021-025-06-005-024	ParlaMint-CZ_2022-06-15-ps2021-025-06-005-024.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-15	2022-06-15	Lower house	ps2021	-	ps2021/025	ps2021/025/06	ps2021/025/024	COVID,War	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	OndrejKolar.1984	Kolář, Ondřej	M	1984	
ParlaMint-CZ-en_2022-06-15-ps2021-025-06-005-024	ParlaMint-CZ_2022-06-15-ps2021-025-06-005-024.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-06-15	2022-06-15	Lower house	ps2021	-	ps2021/025	ps2021/025/06	ps2021/025/024	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
