Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-09-30-ps2021-035-06-000-000	ParlaMint-CZ_2022-09-30-ps2021-035-06-000-000.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-30	2022-09-30	Lower house	ps2021	-	ps2021/035	ps2021/035/06	ps2021/035/000	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-09-30-ps2021-035-06-000-000	ParlaMint-CZ_2022-09-30-ps2021-035-06-000-000.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-30	2022-09-30	Lower house	ps2021	-	ps2021/035	ps2021/035/06	ps2021/035/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2022-09-30-ps2021-035-06-000-000	ParlaMint-CZ_2022-09-30-ps2021-035-06-000-000.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-30	2022-09-30	Lower house	ps2021	-	ps2021/035	ps2021/035/06	ps2021/035/000	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-09-30-ps2021-035-06-000-000	ParlaMint-CZ_2022-09-30-ps2021-035-06-000-000.u4	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-30	2022-09-30	Lower house	ps2021	-	ps2021/035	ps2021/035/06	ps2021/035/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2022-09-30-ps2021-035-06-000-000	ParlaMint-CZ_2022-09-30-ps2021-035-06-000-000.u5	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-30	2022-09-30	Lower house	ps2021	-	ps2021/035	ps2021/035/06	ps2021/035/000	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-09-30-ps2021-035-06-000-000	ParlaMint-CZ_2022-09-30-ps2021-035-06-000-000.u6	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-30	2022-09-30	Lower house	ps2021	-	ps2021/035	ps2021/035/06	ps2021/035/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2022-09-30-ps2021-035-06-000-000	ParlaMint-CZ_2022-09-30-ps2021-035-06-000-000.u7	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-30	2022-09-30	Lower house	ps2021	-	ps2021/035	ps2021/035/06	ps2021/035/000	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-09-30-ps2021-035-06-000-000	ParlaMint-CZ_2022-09-30-ps2021-035-06-000-000.u8	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-30	2022-09-30	Lower house	ps2021	-	ps2021/035	ps2021/035/06	ps2021/035/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2022-09-30-ps2021-035-06-000-000	ParlaMint-CZ_2022-09-30-ps2021-035-06-000-000.u9	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-30	2022-09-30	Lower house	ps2021	-	ps2021/035	ps2021/035/06	ps2021/035/000	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2022-09-30-ps2021-035-06-000-000	ParlaMint-CZ_2022-09-30-ps2021-035-06-000-000.u10	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-30	2022-09-30	Lower house	ps2021	-	ps2021/035	ps2021/035/06	ps2021/035/000	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadimFiala.1969	Fiala, Radim	M	1969	
ParlaMint-CZ-en_2022-09-30-ps2021-035-06-000-000	ParlaMint-CZ_2022-09-30-ps2021-035-06-000-000.u11	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-30	2022-09-30	Lower house	ps2021	-	ps2021/035	ps2021/035/06	ps2021/035/000	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
