Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-05-04-ps2021-022-01-001-001	ParlaMint-CZ_2022-05-04-ps2021-022-01-001-001.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-04	2022-05-04	Lower house	ps2021	-	ps2021/022	ps2021/022/01	ps2021/022/001	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2022-05-04-ps2021-022-01-001-001	ParlaMint-CZ_2022-05-04-ps2021-022-01-001-001.u2	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-04	2022-05-04	Lower house	ps2021	-	ps2021/022	ps2021/022/01	ps2021/022/001	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	IvanAdamec.1960	Adamec, Ivan	M	1960	
ParlaMint-CZ-en_2022-05-04-ps2021-022-01-001-001	ParlaMint-CZ_2022-05-04-ps2021-022-01-001-001.u3	Parliament of the Czech Republic, Chamber of Deputies, 2022-05-04	2022-05-04	Lower house	ps2021	-	ps2021/022	ps2021/022/01	ps2021/022/001	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
