Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-008-009	ParlaMint-CZ_2022-09-08-ps2021-035-03-008-009.u1	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/009	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-008-009	ParlaMint-CZ_2022-09-08-ps2021-035-03-008-009.u12	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/009	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	HelenaValkova.1951	Válková, Helena	F	1951	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-008-009	ParlaMint-CZ_2022-09-08-ps2021-035-03-008-009.u13	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/009	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-008-009	ParlaMint-CZ_2022-09-08-ps2021-035-03-008-009.u14	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/009	COVID,War	English	Regular	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MichalZuna.1982	Zuna, Michal	M	1982	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-008-009	ParlaMint-CZ_2022-09-08-ps2021-035-03-008-009.u15	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/009	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-008-009	ParlaMint-CZ_2022-09-08-ps2021-035-03-008-009.u16	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/009	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-008-009	ParlaMint-CZ_2022-09-08-ps2021-035-03-008-009.u17	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/009	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-008-009	ParlaMint-CZ_2022-09-08-ps2021-035-03-008-009.u18	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/009	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	KarelHaas.1973	Haas, Karel	M	1973	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-008-009	ParlaMint-CZ_2022-09-08-ps2021-035-03-008-009.u19	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/009	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-008-009	ParlaMint-CZ_2022-09-08-ps2021-035-03-008-009.u20	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/009	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	KarelHaas.1973	Haas, Karel	M	1973	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-008-009	ParlaMint-CZ_2022-09-08-ps2021-035-03-008-009.u21	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/009	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-008-009	ParlaMint-CZ_2022-09-08-ps2021-035-03-008-009.u22	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/009	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	PatrikNacher.1974	Nacher, Patrik	M	1974	
ParlaMint-CZ-en_2022-09-08-ps2021-035-03-008-009	ParlaMint-CZ_2022-09-08-ps2021-035-03-008-009.u23	Parliament of the Czech Republic, Chamber of Deputies, 2022-09-08	2022-09-08	Lower house	ps2021	-	ps2021/035	ps2021/035/03	ps2021/035/009	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
