Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-02-11	ParlaMint-NO_1999-02-11.ana.ud2389e36	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-02-11	ParlaMint-NO_1999-02-11.ana.ud2389e238	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.FFG	Gundersen, Fridtjof Frank	M	1934	
ParlaMint-NO-en_1999-02-11	ParlaMint-NO_1999-02-11.ana.ud2389e253	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_1999-02-11	ParlaMint-NO_1999-02-11.ana.ud2389e263	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Regular	notMP	Minister	Sp	Senterpartiet	Coalition	Centre	person.RQH	Haarstad, Ragnhild Queseth	F	1939	
ParlaMint-NO-en_1999-02-11	ParlaMint-NO_1999-02-11.ana.ud2389e289	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_1999-02-11	ParlaMint-NO_1999-02-11.ana.ud2389e300	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Regular	notMP	notMinister	H	Høyre	-	Centre-right	person.HVH	Hove, Harald Victor	M	1983	
ParlaMint-NO-en_1999-02-11	ParlaMint-NO_1999-02-11.ana.ud2389e307	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.OE	Eriksen, Odd	M	1955	
ParlaMint-NO-en_1999-02-11	ParlaMint-NO_1999-02-11.ana.ud2389e319	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_1999-02-11	ParlaMint-NO_1999-02-11.ana.ud2389e324	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-02-11	ParlaMint-NO_1999-02-11.ana.ud2389e332	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-02-11	ParlaMint-NO_1999-02-11.ana.ud2389e514	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
ParlaMint-NO-en_1999-02-11	ParlaMint-NO_1999-02-11.ana.ud2389e564	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-02-11	1999-02-11	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-02-11	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KKG	Grøndahl, Kirsti Kolle	F	1943	
