Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-07-03-tweedekamer-4	ParlaMint-NL_2018-07-03-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 101	Sitting 2018-07-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-07-03-tweedekamer-4	ParlaMint-NL_2018-07-03-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	MatthijsSienot	Sienot, Matthijs	M	1972	
ParlaMint-NL-en_2018-07-03-tweedekamer-4	ParlaMint-NL_2018-07-03-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 101	Sitting 2018-07-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-07-03-tweedekamer-4	ParlaMint-NL_2018-07-03-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	CoravanNieuwenhuijzen-Wijbenga	van Nieuwenhuijzen-Wijbenga, Cora	F	1963	
ParlaMint-NL-en_2018-07-03-tweedekamer-4	ParlaMint-NL_2018-07-03-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	MatthijsSienot	Sienot, Matthijs	M	1972	
ParlaMint-NL-en_2018-07-03-tweedekamer-4	ParlaMint-NL_2018-07-03-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	CoravanNieuwenhuijzen-Wijbenga	van Nieuwenhuijzen-Wijbenga, Cora	F	1963	
ParlaMint-NL-en_2018-07-03-tweedekamer-4	ParlaMint-NL_2018-07-03-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	MatthijsSienot	Sienot, Matthijs	M	1972	
ParlaMint-NL-en_2018-07-03-tweedekamer-4	ParlaMint-NL_2018-07-03-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	CoravanNieuwenhuijzen-Wijbenga	van Nieuwenhuijzen-Wijbenga, Cora	F	1963	
ParlaMint-NL-en_2018-07-03-tweedekamer-4	ParlaMint-NL_2018-07-03-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	MatthijsSienot	Sienot, Matthijs	M	1972	
ParlaMint-NL-en_2018-07-03-tweedekamer-4	ParlaMint-NL_2018-07-03-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 101	Sitting 2018-07-03	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	CoravanNieuwenhuijzen-Wijbenga	van Nieuwenhuijzen-Wijbenga, Cora	F	1963	
ParlaMint-NL-en_2018-07-03-tweedekamer-4	ParlaMint-NL_2018-07-03-tweedekamer-4.u11	Report of the meeting of the Dutch Lower House, Meeting 101, Session 4 (2018-07-03)	2018-07-03	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 101	Sitting 2018-07-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
