Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-07-10-eerstekamer-4	ParlaMint-NL_2018-07-10-eerstekamer-4.u1	Report of the meeting of the Dutch Upper House, Meeting 38, Session 4 (2018-07-10)	2018-07-10	Upper house	Meeting of the 35th Eerste Kamer	Session 4	Meeting 38	Sitting 2018-07-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2018-07-10-eerstekamer-4	ParlaMint-NL_2018-07-10-eerstekamer-4.u2	Report of the meeting of the Dutch Upper House, Meeting 38, Session 4 (2018-07-10)	2018-07-10	Upper house	Meeting of the 35th Eerste Kamer	Session 4	Meeting 38	Sitting 2018-07-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2018-07-10-eerstekamer-4	ParlaMint-NL_2018-07-10-eerstekamer-4.u3	Report of the meeting of the Dutch Upper House, Meeting 38, Session 4 (2018-07-10)	2018-07-10	Upper house	Meeting of the 35th Eerste Kamer	Session 4	Meeting 38	Sitting 2018-07-10	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	MarjoleinFaber-vandeKlashorst	Faber-van de Klashorst, Marjolein	F	1960	
ParlaMint-NL-en_2018-07-10-eerstekamer-4	ParlaMint-NL_2018-07-10-eerstekamer-4.u4	Report of the meeting of the Dutch Upper House, Meeting 38, Session 4 (2018-07-10)	2018-07-10	Upper house	Meeting of the 35th Eerste Kamer	Session 4	Meeting 38	Sitting 2018-07-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2018-07-10-eerstekamer-4	ParlaMint-NL_2018-07-10-eerstekamer-4.u5	Report of the meeting of the Dutch Upper House, Meeting 38, Session 4 (2018-07-10)	2018-07-10	Upper house	Meeting of the 35th Eerste Kamer	Session 4	Meeting 38	Sitting 2018-07-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MennoKnip	Knip, Menno	M	1947	
ParlaMint-NL-en_2018-07-10-eerstekamer-4	ParlaMint-NL_2018-07-10-eerstekamer-4.u6	Report of the meeting of the Dutch Upper House, Meeting 38, Session 4 (2018-07-10)	2018-07-10	Upper house	Meeting of the 35th Eerste Kamer	Session 4	Meeting 38	Sitting 2018-07-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2018-07-10-eerstekamer-4	ParlaMint-NL_2018-07-10-eerstekamer-4.u7	Report of the meeting of the Dutch Upper House, Meeting 38, Session 4 (2018-07-10)	2018-07-10	Upper house	Meeting of the 35th Eerste Kamer	Session 4	Meeting 38	Sitting 2018-07-10	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	TinyKox	Kox, Tiny	M	1953	
ParlaMint-NL-en_2018-07-10-eerstekamer-4	ParlaMint-NL_2018-07-10-eerstekamer-4.u8	Report of the meeting of the Dutch Upper House, Meeting 38, Session 4 (2018-07-10)	2018-07-10	Upper house	Meeting of the 35th Eerste Kamer	Session 4	Meeting 38	Sitting 2018-07-10	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	MarjoleinFaber-vandeKlashorst	Faber-van de Klashorst, Marjolein	F	1960	
ParlaMint-NL-en_2018-07-10-eerstekamer-4	ParlaMint-NL_2018-07-10-eerstekamer-4.u9	Report of the meeting of the Dutch Upper House, Meeting 38, Session 4 (2018-07-10)	2018-07-10	Upper house	Meeting of the 35th Eerste Kamer	Session 4	Meeting 38	Sitting 2018-07-10	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	TinyKox	Kox, Tiny	M	1953	
ParlaMint-NL-en_2018-07-10-eerstekamer-4	ParlaMint-NL_2018-07-10-eerstekamer-4.u10	Report of the meeting of the Dutch Upper House, Meeting 38, Session 4 (2018-07-10)	2018-07-10	Upper house	Meeting of the 35th Eerste Kamer	Session 4	Meeting 38	Sitting 2018-07-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
