Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-04-18-tweedekamer-8	ParlaMint-NL_2018-04-18-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2018-04-18)	2018-04-18	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 75	Sitting 2018-04-18	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-04-18-tweedekamer-8	ParlaMint-NL_2018-04-18-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2018-04-18)	2018-04-18	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 75	Sitting 2018-04-18	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	JanPaternotte	Paternotte, Jan	M	1984	
ParlaMint-NL-en_2018-04-18-tweedekamer-8	ParlaMint-NL_2018-04-18-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2018-04-18)	2018-04-18	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 75	Sitting 2018-04-18	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	JanPaternotte	Paternotte, Jan	M	1984	
ParlaMint-NL-en_2018-04-18-tweedekamer-8	ParlaMint-NL_2018-04-18-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2018-04-18)	2018-04-18	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 75	Sitting 2018-04-18	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-04-18-tweedekamer-8	ParlaMint-NL_2018-04-18-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2018-04-18)	2018-04-18	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 75	Sitting 2018-04-18	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2018-04-18-tweedekamer-8	ParlaMint-NL_2018-04-18-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2018-04-18)	2018-04-18	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 75	Sitting 2018-04-18	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2018-04-18-tweedekamer-8	ParlaMint-NL_2018-04-18-tweedekamer-8.u7	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2018-04-18)	2018-04-18	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 75	Sitting 2018-04-18	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-04-18-tweedekamer-8	ParlaMint-NL_2018-04-18-tweedekamer-8.u8	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2018-04-18)	2018-04-18	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 75	Sitting 2018-04-18	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	DionGraus	Graus, Dion	M	1967	
ParlaMint-NL-en_2018-04-18-tweedekamer-8	ParlaMint-NL_2018-04-18-tweedekamer-8.u9	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2018-04-18)	2018-04-18	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 75	Sitting 2018-04-18	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	DionGraus	Graus, Dion	M	1967	
ParlaMint-NL-en_2018-04-18-tweedekamer-8	ParlaMint-NL_2018-04-18-tweedekamer-8.u10	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2018-04-18)	2018-04-18	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 75	Sitting 2018-04-18	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	DionGraus	Graus, Dion	M	1967	
ParlaMint-NL-en_2018-04-18-tweedekamer-8	ParlaMint-NL_2018-04-18-tweedekamer-8.u11	Report of the meeting of the Dutch Lower House, Meeting 75, Session 8 (2018-04-18)	2018-04-18	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 75	Sitting 2018-04-18	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
