Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2018-11-01-tweedekamer-9	ParlaMint-NL_2018-11-01-tweedekamer-9.u1	Report of the meeting of the Dutch Lower House, Meeting 18, Session 9 (2018-11-01)	2018-11-01	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 18	Sitting 2018-11-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-11-01-tweedekamer-9	ParlaMint-NL_2018-11-01-tweedekamer-9.u2	Report of the meeting of the Dutch Lower House, Meeting 18, Session 9 (2018-11-01)	2018-11-01	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 18	Sitting 2018-11-01	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2018-11-01-tweedekamer-9	ParlaMint-NL_2018-11-01-tweedekamer-9.u3	Report of the meeting of the Dutch Lower House, Meeting 18, Session 9 (2018-11-01)	2018-11-01	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 18	Sitting 2018-11-01	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2018-11-01-tweedekamer-9	ParlaMint-NL_2018-11-01-tweedekamer-9.u4	Report of the meeting of the Dutch Lower House, Meeting 18, Session 9 (2018-11-01)	2018-11-01	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 18	Sitting 2018-11-01	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2018-11-01-tweedekamer-9	ParlaMint-NL_2018-11-01-tweedekamer-9.u5	Report of the meeting of the Dutch Lower House, Meeting 18, Session 9 (2018-11-01)	2018-11-01	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 18	Sitting 2018-11-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-11-01-tweedekamer-9	ParlaMint-NL_2018-11-01-tweedekamer-9.u6	Report of the meeting of the Dutch Lower House, Meeting 18, Session 9 (2018-11-01)	2018-11-01	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 18	Sitting 2018-11-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-11-01-tweedekamer-9	ParlaMint-NL_2018-11-01-tweedekamer-9.u7	Report of the meeting of the Dutch Lower House, Meeting 18, Session 9 (2018-11-01)	2018-11-01	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 18	Sitting 2018-11-01	-	Reference	English	Regular	notMP	Minister	CU	ChristenUnie	Coalition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2018-11-01-tweedekamer-9	ParlaMint-NL_2018-11-01-tweedekamer-9.u8	Report of the meeting of the Dutch Lower House, Meeting 18, Session 9 (2018-11-01)	2018-11-01	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 18	Sitting 2018-11-01	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2018-11-01-tweedekamer-9	ParlaMint-NL_2018-11-01-tweedekamer-9.u9	Report of the meeting of the Dutch Lower House, Meeting 18, Session 9 (2018-11-01)	2018-11-01	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 18	Sitting 2018-11-01	-	Reference	English	Regular	notMP	Minister	CU	ChristenUnie	Coalition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2018-11-01-tweedekamer-9	ParlaMint-NL_2018-11-01-tweedekamer-9.u10	Report of the meeting of the Dutch Lower House, Meeting 18, Session 9 (2018-11-01)	2018-11-01	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 18	Sitting 2018-11-01	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2018-11-01-tweedekamer-9	ParlaMint-NL_2018-11-01-tweedekamer-9.u11	Report of the meeting of the Dutch Lower House, Meeting 18, Session 9 (2018-11-01)	2018-11-01	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 18	Sitting 2018-11-01	-	Reference	English	Regular	notMP	Minister	CU	ChristenUnie	Coalition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2018-11-01-tweedekamer-9	ParlaMint-NL_2018-11-01-tweedekamer-9.u12	Report of the meeting of the Dutch Lower House, Meeting 18, Session 9 (2018-11-01)	2018-11-01	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 18	Sitting 2018-11-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2018-11-01-tweedekamer-9	ParlaMint-NL_2018-11-01-tweedekamer-9.u13	Report of the meeting of the Dutch Lower House, Meeting 18, Session 9 (2018-11-01)	2018-11-01	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 18	Sitting 2018-11-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
