Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2017-03-08-41	ParlaMint-IS_2017-03-08-41.u1	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-41, 08.03.2017.	2017-03-08	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SvandisSvavarsdottir	Svavarsdóttir, Svandís	F	1964	
ParlaMint-IS-en_2017-03-08-41	ParlaMint-IS_2017-03-08-41.u2	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-41, 08.03.2017.	2017-03-08	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HalldoraMogensen	Mogensen, Halldóra	F	1979	
ParlaMint-IS-en_2017-03-08-41	ParlaMint-IS_2017-03-08-41.u3	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-41, 08.03.2017.	2017-03-08	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	AstaHelgadottir	Helgadóttir, Ásta Guðrún	F	1990	
ParlaMint-IS-en_2017-03-08-41	ParlaMint-IS_2017-03-08-41.u4	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-41, 08.03.2017.	2017-03-08	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	SmariMcCarthy	McCarthy, Smári	M	1984	
ParlaMint-IS-en_2017-03-08-41	ParlaMint-IS_2017-03-08-41.u5	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-41, 08.03.2017.	2017-03-08	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OddnyHardardottir	Harðardóttir, Oddný G.	F	1957	
ParlaMint-IS-en_2017-03-08-41	ParlaMint-IS_2017-03-08-41.u6	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-41, 08.03.2017.	2017-03-08	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KolbeinnProppe	Proppé, Kolbeinn Óttarsson	M	1972	
ParlaMint-IS-en_2017-03-08-41	ParlaMint-IS_2017-03-08-41.u7	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-41, 08.03.2017.	2017-03-08	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	LiljaMagnusdottir	Magnúsdóttir, Lilja Rafney	F	1957	
ParlaMint-IS-en_2017-03-08-41	ParlaMint-IS_2017-03-08-41.u8	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-41, 08.03.2017.	2017-03-08	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	Coalition	Centre-right	PawelBartoszek	Bartoszek, Pawel	M	1980	
ParlaMint-IS-en_2017-03-08-41	ParlaMint-IS_2017-03-08-41.u9	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-41, 08.03.2017.	2017-03-08	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2017-03-08-41	ParlaMint-IS_2017-03-08-41.u10	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-41, 08.03.2017.	2017-03-08	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	-	Centre to centre-right	EygloHardardottir	Harðardóttir, Eygló	F	1972	
