Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-02-12-tweedekamer-27	ParlaMint-NL_2019-02-12-tweedekamer-27.u1	Report of the meeting of the Dutch Lower House, Meeting 52, Session 27 (2019-02-12)	2019-02-12	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 52	Sitting 2019-02-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-02-12-tweedekamer-27	ParlaMint-NL_2019-02-12-tweedekamer-27.u2	Report of the meeting of the Dutch Lower House, Meeting 52, Session 27 (2019-02-12)	2019-02-12	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 52	Sitting 2019-02-12	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KirstenvandenHul	van den Hul, Kirsten	F	1976	
ParlaMint-NL-en_2019-02-12-tweedekamer-27	ParlaMint-NL_2019-02-12-tweedekamer-27.u3	Report of the meeting of the Dutch Lower House, Meeting 52, Session 27 (2019-02-12)	2019-02-12	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 52	Sitting 2019-02-12	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KirstenvandenHul	van den Hul, Kirsten	F	1976	
ParlaMint-NL-en_2019-02-12-tweedekamer-27	ParlaMint-NL_2019-02-12-tweedekamer-27.u4	Report of the meeting of the Dutch Lower House, Meeting 52, Session 27 (2019-02-12)	2019-02-12	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 52	Sitting 2019-02-12	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KirstenvandenHul	van den Hul, Kirsten	F	1976	
ParlaMint-NL-en_2019-02-12-tweedekamer-27	ParlaMint-NL_2019-02-12-tweedekamer-27.u5	Report of the meeting of the Dutch Lower House, Meeting 52, Session 27 (2019-02-12)	2019-02-12	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 52	Sitting 2019-02-12	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RudmerHeerema	Heerema, Rudmer	M	1978	
ParlaMint-NL-en_2019-02-12-tweedekamer-27	ParlaMint-NL_2019-02-12-tweedekamer-27.u6	Report of the meeting of the Dutch Lower House, Meeting 52, Session 27 (2019-02-12)	2019-02-12	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 52	Sitting 2019-02-12	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-02-12-tweedekamer-27	ParlaMint-NL_2019-02-12-tweedekamer-27.u7	Report of the meeting of the Dutch Lower House, Meeting 52, Session 27 (2019-02-12)	2019-02-12	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 52	Sitting 2019-02-12	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	PeterKwint	Kwint, Peter	M	1984	
ParlaMint-NL-en_2019-02-12-tweedekamer-27	ParlaMint-NL_2019-02-12-tweedekamer-27.u8	Report of the meeting of the Dutch Lower House, Meeting 52, Session 27 (2019-02-12)	2019-02-12	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 52	Sitting 2019-02-12	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2019-02-12-tweedekamer-27	ParlaMint-NL_2019-02-12-tweedekamer-27.u9	Report of the meeting of the Dutch Lower House, Meeting 52, Session 27 (2019-02-12)	2019-02-12	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 52	Sitting 2019-02-12	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2019-02-12-tweedekamer-27	ParlaMint-NL_2019-02-12-tweedekamer-27.u10	Report of the meeting of the Dutch Lower House, Meeting 52, Session 27 (2019-02-12)	2019-02-12	Lower house	Meeting of the 29th Tweede Kamer	Session 27	Meeting 52	Sitting 2019-02-12	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
