Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u1	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u2	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u3	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u4	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u5	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HelmiHuijbregts-Schiedon	Huijbregts-Schiedon, Helmi	F	1948	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u6	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u7	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FrankKöhler	Köhler, Frank	M	1953	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u8	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u9	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u10	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u11	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HelmiHuijbregts-Schiedon	Huijbregts-Schiedon, Helmi	F	1948	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u12	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u13	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HelmiHuijbregts-Schiedon	Huijbregts-Schiedon, Helmi	F	1948	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u14	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u15	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HelmiHuijbregts-Schiedon	Huijbregts-Schiedon, Helmi	F	1948	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u16	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u17	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HelmiHuijbregts-Schiedon	Huijbregts-Schiedon, Helmi	F	1948	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u18	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u19	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u20	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u21	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u22	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u23	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u24	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u25	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FrankKöhler	Köhler, Frank	M	1953	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u26	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u27	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FrankKöhler	Köhler, Frank	M	1953	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u28	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u29	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FrankKöhler	Köhler, Frank	M	1953	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u30	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u31	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u32	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u33	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HelmiHuijbregts-Schiedon	Huijbregts-Schiedon, Helmi	F	1948	
ParlaMint-NL-en_2019-05-28-eerstekamer-15	ParlaMint-NL_2019-05-28-eerstekamer-15.u34	Report of the meeting of the Dutch Upper House, Meeting 32, Session 15 (2019-05-28)	2019-05-28	Upper house	Meeting of the 35th Eerste Kamer	Session 15	Meeting 32	Sitting 2019-05-28	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
