Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-12-16-eerstekamer-6	ParlaMint-NL_2019-12-16-eerstekamer-6.u1	Report of the meeting of the Dutch Upper House, Meeting 13, Session 6 (2019-12-16)	2019-12-16	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 13	Sitting 2019-12-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2019-12-16-eerstekamer-6	ParlaMint-NL_2019-12-16-eerstekamer-6.u2	Report of the meeting of the Dutch Upper House, Meeting 13, Session 6 (2019-12-16)	2019-12-16	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 13	Sitting 2019-12-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2019-12-16-eerstekamer-6	ParlaMint-NL_2019-12-16-eerstekamer-6.u3	Report of the meeting of the Dutch Upper House, Meeting 13, Session 6 (2019-12-16)	2019-12-16	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 13	Sitting 2019-12-16	-	Reference	English	Regular	MP	notMinister	-	-	-	-	AnnabelNanninga	Nanninga, Annabel	F	1977	
ParlaMint-NL-en_2019-12-16-eerstekamer-6	ParlaMint-NL_2019-12-16-eerstekamer-6.u4	Report of the meeting of the Dutch Upper House, Meeting 13, Session 6 (2019-12-16)	2019-12-16	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 13	Sitting 2019-12-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2019-12-16-eerstekamer-6	ParlaMint-NL_2019-12-16-eerstekamer-6.u5	Report of the meeting of the Dutch Upper House, Meeting 13, Session 6 (2019-12-16)	2019-12-16	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 13	Sitting 2019-12-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2019-12-16-eerstekamer-6	ParlaMint-NL_2019-12-16-eerstekamer-6.u6	Report of the meeting of the Dutch Upper House, Meeting 13, Session 6 (2019-12-16)	2019-12-16	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 13	Sitting 2019-12-16	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	TonvanKesteren	van Kesteren, Ton	M	1954	
ParlaMint-NL-en_2019-12-16-eerstekamer-6	ParlaMint-NL_2019-12-16-eerstekamer-6.u7	Report of the meeting of the Dutch Upper House, Meeting 13, Session 6 (2019-12-16)	2019-12-16	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 13	Sitting 2019-12-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2019-12-16-eerstekamer-6	ParlaMint-NL_2019-12-16-eerstekamer-6.u8	Report of the meeting of the Dutch Upper House, Meeting 13, Session 6 (2019-12-16)	2019-12-16	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 13	Sitting 2019-12-16	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	MarijkeVos	Vos, Marijke	F	1957	
ParlaMint-NL-en_2019-12-16-eerstekamer-6	ParlaMint-NL_2019-12-16-eerstekamer-6.u9	Report of the meeting of the Dutch Upper House, Meeting 13, Session 6 (2019-12-16)	2019-12-16	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 13	Sitting 2019-12-16	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	TonvanKesteren	van Kesteren, Ton	M	1954	
ParlaMint-NL-en_2019-12-16-eerstekamer-6	ParlaMint-NL_2019-12-16-eerstekamer-6.u10	Report of the meeting of the Dutch Upper House, Meeting 13, Session 6 (2019-12-16)	2019-12-16	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 13	Sitting 2019-12-16	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	MarijkeVos	Vos, Marijke	F	1957	
