Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u1	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u2	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u3	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u4	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u5	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u6	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u7	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u8	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	FerdGrapperhaus	Grapperhaus, Ferd	M	1959	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u9	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u10	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	FerdGrapperhaus	Grapperhaus, Ferd	M	1959	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u11	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u12	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	FerdGrapperhaus	Grapperhaus, Ferd	M	1959	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u13	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u14	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	FerdGrapperhaus	Grapperhaus, Ferd	M	1959	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u15	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u16	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u17	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u18	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	FerdGrapperhaus	Grapperhaus, Ferd	M	1959	
ParlaMint-NL-en_2019-12-19-tweedekamer-46	ParlaMint-NL_2019-12-19-tweedekamer-46.u19	Report of the meeting of the Dutch Lower House, Meeting 39, Session 46 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 46	Meeting 39	Sitting 2019-12-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
