Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-12-21-eerstekamer-17	ParlaMint-NL_2021-12-21-eerstekamer-17.u1	Report of the meeting of the Dutch Upper House, Meeting 12, Session 17 (2021-12-21)	2021-12-21	Upper house	Meeting of the 36th Eerste Kamer	Session 17	Meeting 12	Sitting 2021-12-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-12-21-eerstekamer-17	ParlaMint-NL_2021-12-21-eerstekamer-17.u2	Report of the meeting of the Dutch Upper House, Meeting 12, Session 17 (2021-12-21)	2021-12-21	Upper house	Meeting of the 36th Eerste Kamer	Session 17	Meeting 12	Sitting 2021-12-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-12-21-eerstekamer-17	ParlaMint-NL_2021-12-21-eerstekamer-17.u3	Report of the meeting of the Dutch Upper House, Meeting 12, Session 17 (2021-12-21)	2021-12-21	Upper house	Meeting of the 36th Eerste Kamer	Session 17	Meeting 12	Sitting 2021-12-21	-	COVID	English	Guest	notMP	notMinister	GL	GroenLinks	-	Centre-left to left	SaskiaKluit	Kluit, Saskia	F	1973	
ParlaMint-NL-en_2021-12-21-eerstekamer-17	ParlaMint-NL_2021-12-21-eerstekamer-17.u4	Report of the meeting of the Dutch Upper House, Meeting 12, Session 17 (2021-12-21)	2021-12-21	Upper house	Meeting of the 36th Eerste Kamer	Session 17	Meeting 12	Sitting 2021-12-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-12-21-eerstekamer-17	ParlaMint-NL_2021-12-21-eerstekamer-17.u5	Report of the meeting of the Dutch Upper House, Meeting 12, Session 17 (2021-12-21)	2021-12-21	Upper house	Meeting of the 36th Eerste Kamer	Session 17	Meeting 12	Sitting 2021-12-21	-	COVID	English	Guest	notMP	notMinister	GL	GroenLinks	-	Centre-left to left	SaskiaKluit	Kluit, Saskia	F	1973	
ParlaMint-NL-en_2021-12-21-eerstekamer-17	ParlaMint-NL_2021-12-21-eerstekamer-17.u6	Report of the meeting of the Dutch Upper House, Meeting 12, Session 17 (2021-12-21)	2021-12-21	Upper house	Meeting of the 36th Eerste Kamer	Session 17	Meeting 12	Sitting 2021-12-21	-	COVID	English	Guest	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	AnnemarieJorritsma-Lebbink	Jorritsma-Lebbink, Annemarie	F	1950	
ParlaMint-NL-en_2021-12-21-eerstekamer-17	ParlaMint-NL_2021-12-21-eerstekamer-17.u7	Report of the meeting of the Dutch Upper House, Meeting 12, Session 17 (2021-12-21)	2021-12-21	Upper house	Meeting of the 36th Eerste Kamer	Session 17	Meeting 12	Sitting 2021-12-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-12-21-eerstekamer-17	ParlaMint-NL_2021-12-21-eerstekamer-17.u8	Report of the meeting of the Dutch Upper House, Meeting 12, Session 17 (2021-12-21)	2021-12-21	Upper house	Meeting of the 36th Eerste Kamer	Session 17	Meeting 12	Sitting 2021-12-21	-	COVID	English	Guest	notMP	notMinister	GL	GroenLinks	-	Centre-left to left	SaskiaKluit	Kluit, Saskia	F	1973	
ParlaMint-NL-en_2021-12-21-eerstekamer-17	ParlaMint-NL_2021-12-21-eerstekamer-17.u9	Report of the meeting of the Dutch Upper House, Meeting 12, Session 17 (2021-12-21)	2021-12-21	Upper house	Meeting of the 36th Eerste Kamer	Session 17	Meeting 12	Sitting 2021-12-21	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-12-21-eerstekamer-17	ParlaMint-NL_2021-12-21-eerstekamer-17.u10	Report of the meeting of the Dutch Upper House, Meeting 12, Session 17 (2021-12-21)	2021-12-21	Upper house	Meeting of the 36th Eerste Kamer	Session 17	Meeting 12	Sitting 2021-12-21	-	COVID	English	Guest	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	AnnemarieJorritsma-Lebbink	Jorritsma-Lebbink, Annemarie	F	1950	
ParlaMint-NL-en_2021-12-21-eerstekamer-17	ParlaMint-NL_2021-12-21-eerstekamer-17.u11	Report of the meeting of the Dutch Upper House, Meeting 12, Session 17 (2021-12-21)	2021-12-21	Upper house	Meeting of the 36th Eerste Kamer	Session 17	Meeting 12	Sitting 2021-12-21	-	COVID	English	Guest	notMP	notMinister	GL	GroenLinks	-	Centre-left to left	SaskiaKluit	Kluit, Saskia	F	1973	
ParlaMint-NL-en_2021-12-21-eerstekamer-17	ParlaMint-NL_2021-12-21-eerstekamer-17.u12	Report of the meeting of the Dutch Upper House, Meeting 12, Session 17 (2021-12-21)	2021-12-21	Upper house	Meeting of the 36th Eerste Kamer	Session 17	Meeting 12	Sitting 2021-12-21	-	COVID	English	Guest	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	AnnemarieJorritsma-Lebbink	Jorritsma-Lebbink, Annemarie	F	1950	
