Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2014-03-06-LEG17-Senato-sed-204	ParlaMint-IT_2014-03-06-LEG17-Senato-sed-204.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 204, Day (2014-03-06)	2014-03-06	Upper house	17 Legislatura	-	-	204 Seduta	-	Reference	English	Chairperson	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2014-03-06-LEG17-Senato-sed-204	ParlaMint-IT_2014-03-06-LEG17-Senato-sed-204.ana.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 204, Day (2014-03-06)	2014-03-06	Upper house	17 Legislatura	-	-	204 Seduta	-	Reference	English	Regular	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GibiinoVincenzo	Gibiino, Vincenzo	M	1965	
ParlaMint-IT-en_2014-03-06-LEG17-Senato-sed-204	ParlaMint-IT_2014-03-06-LEG17-Senato-sed-204.ana.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 204, Day (2014-03-06)	2014-03-06	Upper house	17 Legislatura	-	-	204 Seduta	-	Reference	English	Chairperson	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2014-03-06-LEG17-Senato-sed-204	ParlaMint-IT_2014-03-06-LEG17-Senato-sed-204.ana.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 204, Day (2014-03-06)	2014-03-06	Upper house	17 Legislatura	-	-	204 Seduta	-	Reference	English	Regular	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GibiinoVincenzo	Gibiino, Vincenzo	M	1965	
ParlaMint-IT-en_2014-03-06-LEG17-Senato-sed-204	ParlaMint-IT_2014-03-06-LEG17-Senato-sed-204.ana.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 204, Day (2014-03-06)	2014-03-06	Upper house	17 Legislatura	-	-	204 Seduta	-	Reference	English	Chairperson	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2014-03-06-LEG17-Senato-sed-204	ParlaMint-IT_2014-03-06-LEG17-Senato-sed-204.ana.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 204, Day (2014-03-06)	2014-03-06	Upper house	17 Legislatura	-	-	204 Seduta	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	DeVincentiClaudio	De Vincenti, Claudio	M	1948	
ParlaMint-IT-en_2014-03-06-LEG17-Senato-sed-204	ParlaMint-IT_2014-03-06-LEG17-Senato-sed-204.ana.u17	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 204, Day (2014-03-06)	2014-03-06	Upper house	17 Legislatura	-	-	204 Seduta	-	Reference	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	DiGiorgiRosaMaria	Di Giorgi, Rosa Maria	F	1955	
ParlaMint-IT-en_2014-03-06-LEG17-Senato-sed-204	ParlaMint-IT_2014-03-06-LEG17-Senato-sed-204.ana.u18	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 204, Day (2014-03-06)	2014-03-06	Upper house	17 Legislatura	-	-	204 Seduta	-	Reference	English	Chairperson	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2014-03-06-LEG17-Senato-sed-204	ParlaMint-IT_2014-03-06-LEG17-Senato-sed-204.ana.u19	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 204, Day (2014-03-06)	2014-03-06	Upper house	17 Legislatura	-	-	204 Seduta	-	Reference	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	DiGiorgiRosaMaria	Di Giorgi, Rosa Maria	F	1955	
ParlaMint-IT-en_2014-03-06-LEG17-Senato-sed-204	ParlaMint-IT_2014-03-06-LEG17-Senato-sed-204.ana.u20	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 204, Day (2014-03-06)	2014-03-06	Upper house	17 Legislatura	-	-	204 Seduta	-	Reference	English	Chairperson	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2014-03-06-LEG17-Senato-sed-204	ParlaMint-IT_2014-03-06-LEG17-Senato-sed-204.ana.u21	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 204, Day (2014-03-06)	2014-03-06	Upper house	17 Legislatura	-	-	204 Seduta	-	Reference	English	Chairperson	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
ParlaMint-IT-en_2014-03-06-LEG17-Senato-sed-204	ParlaMint-IT_2014-03-06-LEG17-Senato-sed-204.ana.u22	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 204, Day (2014-03-06)	2014-03-06	Upper house	17 Legislatura	-	-	204 Seduta	-	Reference	English	Chairperson	MP	notMinister	LN-Aut	Lega Nord e Autonomie	Opposition	Right to far-right	CalderoliRoberto	Calderoli, Roberto	M	1956	
