Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2018-01-25-ps2017-006-06-007-901	ParlaMint-CZ_2018-01-25-ps2017-006-06-007-901.u1	Parliament of the Czech Republic, Chamber of Deputies, 2018-01-25	2018-01-25	Lower house	ps2017	-	ps2017/006	ps2017/006/06	ps2017/006/901	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2018-01-25-ps2017-006-06-007-901	ParlaMint-CZ_2018-01-25-ps2017-006-06-007-901.u2	Parliament of the Czech Republic, Chamber of Deputies, 2018-01-25	2018-01-25	Lower house	ps2017	-	ps2017/006	ps2017/006/06	ps2017/006/901	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RomanKubicek.1963	Kubíček, Roman	M	1963	
ParlaMint-CZ-en_2018-01-25-ps2017-006-06-007-901	ParlaMint-CZ_2018-01-25-ps2017-006-06-007-901.u3	Parliament of the Czech Republic, Chamber of Deputies, 2018-01-25	2018-01-25	Lower house	ps2017	-	ps2017/006	ps2017/006/06	ps2017/006/901	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2018-01-25-ps2017-006-06-007-901	ParlaMint-CZ_2018-01-25-ps2017-006-06-007-901.u4	Parliament of the Czech Republic, Chamber of Deputies, 2018-01-25	2018-01-25	Lower house	ps2017	-	ps2017/006	ps2017/006/06	ps2017/006/901	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2018-01-25-ps2017-006-06-007-901	ParlaMint-CZ_2018-01-25-ps2017-006-06-007-901.u5	Parliament of the Czech Republic, Chamber of Deputies, 2018-01-25	2018-01-25	Lower house	ps2017	-	ps2017/006	ps2017/006/06	ps2017/006/901	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
