Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2018-03-21-ps2017-007-08-003-031	ParlaMint-CZ_2018-03-21-ps2017-007-08-003-031.u1	Parliament of the Czech Republic, Chamber of Deputies, 2018-03-21	2018-03-21	Lower house	ps2017	-	ps2017/007	ps2017/007/08	ps2017/007/031	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2018-03-21-ps2017-007-08-003-031	ParlaMint-CZ_2018-03-21-ps2017-007-08-003-031.u2	Parliament of the Czech Republic, Chamber of Deputies, 2018-03-21	2018-03-21	Lower house	ps2017	-	ps2017/007	ps2017/007/08	ps2017/007/031	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RadkaMaxova.1968	Maxová, Radka	F	1968	
ParlaMint-CZ-en_2018-03-21-ps2017-007-08-003-031	ParlaMint-CZ_2018-03-21-ps2017-007-08-003-031.u3	Parliament of the Czech Republic, Chamber of Deputies, 2018-03-21	2018-03-21	Lower house	ps2017	-	ps2017/007	ps2017/007/08	ps2017/007/031	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
ParlaMint-CZ-en_2018-03-21-ps2017-007-08-003-031	ParlaMint-CZ_2018-03-21-ps2017-007-08-003-031.u4	Parliament of the Czech Republic, Chamber of Deputies, 2018-03-21	2018-03-21	Lower house	ps2017	-	ps2017/007	ps2017/007/08	ps2017/007/031	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	JanBauer.1969	Bauer, Jan	M	1969	
ParlaMint-CZ-en_2018-03-21-ps2017-007-08-003-031	ParlaMint-CZ_2018-03-21-ps2017-007-08-003-031.u5	Parliament of the Czech Republic, Chamber of Deputies, 2018-03-21	2018-03-21	Lower house	ps2017	-	ps2017/007	ps2017/007/08	ps2017/007/031	Reference	English	Chairperson	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	-	Left to far-left	VojtechFilip.1955	Filip, Vojtěch	M	1955	
