Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-06-08-tweedekamer-4	ParlaMint-NL_2017-06-08-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 85, Session 4 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 85	Sitting 2017-06-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-06-08-tweedekamer-4	ParlaMint-NL_2017-06-08-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 85, Session 4 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	IngridvanEngelshoven	van Engelshoven, Ingrid	F	1966	
ParlaMint-NL-en_2017-06-08-tweedekamer-4	ParlaMint-NL_2017-06-08-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 85, Session 4 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	IngridvanEngelshoven	van Engelshoven, Ingrid	F	1966	
ParlaMint-NL-en_2017-06-08-tweedekamer-4	ParlaMint-NL_2017-06-08-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 85, Session 4 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2017-06-08-tweedekamer-4	ParlaMint-NL_2017-06-08-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 85, Session 4 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HankeBruinsSlot	Bruins Slot, Hanke	F	1977	
ParlaMint-NL-en_2017-06-08-tweedekamer-4	ParlaMint-NL_2017-06-08-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 85, Session 4 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HankeBruinsSlot	Bruins Slot, Hanke	F	1977	
ParlaMint-NL-en_2017-06-08-tweedekamer-4	ParlaMint-NL_2017-06-08-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 85, Session 4 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 85	Sitting 2017-06-08	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-06-08-tweedekamer-4	ParlaMint-NL_2017-06-08-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 85, Session 4 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	NevinÖzütok	Özütok, Nevin	F	1960	
ParlaMint-NL-en_2017-06-08-tweedekamer-4	ParlaMint-NL_2017-06-08-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 85, Session 4 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2017-06-08-tweedekamer-4	ParlaMint-NL_2017-06-08-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 85, Session 4 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	IngridvanEngelshoven	van Engelshoven, Ingrid	F	1966	
ParlaMint-NL-en_2017-06-08-tweedekamer-4	ParlaMint-NL_2017-06-08-tweedekamer-4.u11	Report of the meeting of the Dutch Lower House, Meeting 85, Session 4 (2017-06-08)	2017-06-08	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 85	Sitting 2017-06-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	-	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
