Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-05-16-tweedekamer-22	ParlaMint-NL_2017-05-16-tweedekamer-22.u1	Report of the meeting of the Dutch Lower House, Meeting 75, Session 22 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 75	Sitting 2017-05-16	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-05-16-tweedekamer-22	ParlaMint-NL_2017-05-16-tweedekamer-22.u2	Report of the meeting of the Dutch Lower House, Meeting 75, Session 22 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	FrankWassenberg	Wassenberg, Frank	M	1966	
ParlaMint-NL-en_2017-05-16-tweedekamer-22	ParlaMint-NL_2017-05-16-tweedekamer-22.u3	Report of the meeting of the Dutch Lower House, Meeting 75, Session 22 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2017-05-16-tweedekamer-22	ParlaMint-NL_2017-05-16-tweedekamer-22.u4	Report of the meeting of the Dutch Lower House, Meeting 75, Session 22 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2017-05-16-tweedekamer-22	ParlaMint-NL_2017-05-16-tweedekamer-22.u5	Report of the meeting of the Dutch Lower House, Meeting 75, Session 22 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2017-05-16-tweedekamer-22	ParlaMint-NL_2017-05-16-tweedekamer-22.u6	Report of the meeting of the Dutch Lower House, Meeting 75, Session 22 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2017-05-16-tweedekamer-22	ParlaMint-NL_2017-05-16-tweedekamer-22.u7	Report of the meeting of the Dutch Lower House, Meeting 75, Session 22 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2017-05-16-tweedekamer-22	ParlaMint-NL_2017-05-16-tweedekamer-22.u8	Report of the meeting of the Dutch Lower House, Meeting 75, Session 22 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 75	Sitting 2017-05-16	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-05-16-tweedekamer-22	ParlaMint-NL_2017-05-16-tweedekamer-22.u9	Report of the meeting of the Dutch Lower House, Meeting 75, Session 22 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2017-05-16-tweedekamer-22	ParlaMint-NL_2017-05-16-tweedekamer-22.u10	Report of the meeting of the Dutch Lower House, Meeting 75, Session 22 (2017-05-16)	2017-05-16	Lower house	Meeting of the 28th Tweede Kamer	Session 22	Meeting 75	Sitting 2017-05-16	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	JessicavanEijs	van Eijs, Jessica	F	1981	
