Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IekevandenBurg	van den Burg, Ieke	F	1952	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IekevandenBurg	van den Burg, Ieke	F	1952	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	IekevandenBurg	van den Burg, Ieke	F	1952	
ParlaMint-NL-en_2017-01-17-tweedekamer-5	ParlaMint-NL_2017-01-17-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 40, Session 5 (2017-01-17)	2017-01-17	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 40	Sitting 2017-01-17	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
