Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-10-05-tweedekamer-14	ParlaMint-NL_2017-10-05-tweedekamer-14.u1	Report of the meeting of the Dutch Lower House, Meeting 9, Session 14 (2017-10-05)	2017-10-05	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 9	Sitting 2017-10-05	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-10-05-tweedekamer-14	ParlaMint-NL_2017-10-05-tweedekamer-14.u2	Report of the meeting of the Dutch Lower House, Meeting 9, Session 14 (2017-10-05)	2017-10-05	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 9	Sitting 2017-10-05	-	Reference	English	Regular	notMP	notMinister	DENK	DENK	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
ParlaMint-NL-en_2017-10-05-tweedekamer-14	ParlaMint-NL_2017-10-05-tweedekamer-14.u3	Report of the meeting of the Dutch Lower House, Meeting 9, Session 14 (2017-10-05)	2017-10-05	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 9	Sitting 2017-10-05	-	Reference	English	Regular	notMP	notMinister	DENK	DENK	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
ParlaMint-NL-en_2017-10-05-tweedekamer-14	ParlaMint-NL_2017-10-05-tweedekamer-14.u4	Report of the meeting of the Dutch Lower House, Meeting 9, Session 14 (2017-10-05)	2017-10-05	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 9	Sitting 2017-10-05	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HantenBroeke	ten Broeke, Han	M	1969	
ParlaMint-NL-en_2017-10-05-tweedekamer-14	ParlaMint-NL_2017-10-05-tweedekamer-14.u5	Report of the meeting of the Dutch Lower House, Meeting 9, Session 14 (2017-10-05)	2017-10-05	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 9	Sitting 2017-10-05	-	Reference	English	Regular	notMP	notMinister	DENK	DENK	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
ParlaMint-NL-en_2017-10-05-tweedekamer-14	ParlaMint-NL_2017-10-05-tweedekamer-14.u6	Report of the meeting of the Dutch Lower House, Meeting 9, Session 14 (2017-10-05)	2017-10-05	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 9	Sitting 2017-10-05	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HantenBroeke	ten Broeke, Han	M	1969	
ParlaMint-NL-en_2017-10-05-tweedekamer-14	ParlaMint-NL_2017-10-05-tweedekamer-14.u7	Report of the meeting of the Dutch Lower House, Meeting 9, Session 14 (2017-10-05)	2017-10-05	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 9	Sitting 2017-10-05	-	Reference	English	Regular	notMP	notMinister	DENK	DENK	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
ParlaMint-NL-en_2017-10-05-tweedekamer-14	ParlaMint-NL_2017-10-05-tweedekamer-14.u8	Report of the meeting of the Dutch Lower House, Meeting 9, Session 14 (2017-10-05)	2017-10-05	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 9	Sitting 2017-10-05	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HantenBroeke	ten Broeke, Han	M	1969	
ParlaMint-NL-en_2017-10-05-tweedekamer-14	ParlaMint-NL_2017-10-05-tweedekamer-14.u9	Report of the meeting of the Dutch Lower House, Meeting 9, Session 14 (2017-10-05)	2017-10-05	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 9	Sitting 2017-10-05	-	Reference	English	Regular	notMP	notMinister	DENK	DENK	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
ParlaMint-NL-en_2017-10-05-tweedekamer-14	ParlaMint-NL_2017-10-05-tweedekamer-14.u10	Report of the meeting of the Dutch Lower House, Meeting 9, Session 14 (2017-10-05)	2017-10-05	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 9	Sitting 2017-10-05	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HantenBroeke	ten Broeke, Han	M	1969	
ParlaMint-NL-en_2017-10-05-tweedekamer-14	ParlaMint-NL_2017-10-05-tweedekamer-14.u11	Report of the meeting of the Dutch Lower House, Meeting 9, Session 14 (2017-10-05)	2017-10-05	Lower house	Meeting of the 28th Tweede Kamer	Session 14	Meeting 9	Sitting 2017-10-05	-	Reference	English	Regular	notMP	notMinister	DENK	DENK	Opposition	Centre-left	TunahanKuzu	Kuzu, Tunahan	M	1981	
