Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2017-12-21-tweedekamer-8	ParlaMint-NL_2017-12-21-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 38, Session 8 (2017-12-21)	2017-12-21	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 38	Sitting 2017-12-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-12-21-tweedekamer-8	ParlaMint-NL_2017-12-21-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 38, Session 8 (2017-12-21)	2017-12-21	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 38	Sitting 2017-12-21	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2017-12-21-tweedekamer-8	ParlaMint-NL_2017-12-21-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 38, Session 8 (2017-12-21)	2017-12-21	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 38	Sitting 2017-12-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-12-21-tweedekamer-8	ParlaMint-NL_2017-12-21-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 38, Session 8 (2017-12-21)	2017-12-21	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 38	Sitting 2017-12-21	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2017-12-21-tweedekamer-8	ParlaMint-NL_2017-12-21-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 38, Session 8 (2017-12-21)	2017-12-21	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 38	Sitting 2017-12-21	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AndréBosman	Bosman, André	M	1965	
ParlaMint-NL-en_2017-12-21-tweedekamer-8	ParlaMint-NL_2017-12-21-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 38, Session 8 (2017-12-21)	2017-12-21	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 38	Sitting 2017-12-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-12-21-tweedekamer-8	ParlaMint-NL_2017-12-21-tweedekamer-8.u7	Report of the meeting of the Dutch Lower House, Meeting 38, Session 8 (2017-12-21)	2017-12-21	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 38	Sitting 2017-12-21	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
ParlaMint-NL-en_2017-12-21-tweedekamer-8	ParlaMint-NL_2017-12-21-tweedekamer-8.u8	Report of the meeting of the Dutch Lower House, Meeting 38, Session 8 (2017-12-21)	2017-12-21	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 38	Sitting 2017-12-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-12-21-tweedekamer-8	ParlaMint-NL_2017-12-21-tweedekamer-8.u9	Report of the meeting of the Dutch Lower House, Meeting 38, Session 8 (2017-12-21)	2017-12-21	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 38	Sitting 2017-12-21	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2017-12-21-tweedekamer-8	ParlaMint-NL_2017-12-21-tweedekamer-8.u10	Report of the meeting of the Dutch Lower House, Meeting 38, Session 8 (2017-12-21)	2017-12-21	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 38	Sitting 2017-12-21	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2017-12-21-tweedekamer-8	ParlaMint-NL_2017-12-21-tweedekamer-8.u11	Report of the meeting of the Dutch Lower House, Meeting 38, Session 8 (2017-12-21)	2017-12-21	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 38	Sitting 2017-12-21	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
