Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2015-10-02-ps2013-031-07-006-216	ParlaMint-CZ_2015-10-02-ps2013-031-07-006-216.u1	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-02	2015-10-02	Lower house	ps2013	-	ps2013/031	ps2013/031/07	ps2013/031/216	Reference	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2015-10-02-ps2013-031-07-006-216	ParlaMint-CZ_2015-10-02-ps2013-031-07-006-216.u2	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-02	2015-10-02	Lower house	ps2013	-	ps2013/031	ps2013/031/07	ps2013/031/216	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-10-02-ps2013-031-07-006-216	ParlaMint-CZ_2015-10-02-ps2013-031-07-006-216.u3	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-02	2015-10-02	Lower house	ps2013	-	ps2013/031	ps2013/031/07	ps2013/031/216	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2015-10-02-ps2013-031-07-006-216	ParlaMint-CZ_2015-10-02-ps2013-031-07-006-216.u4	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-02	2015-10-02	Lower house	ps2013	-	ps2013/031	ps2013/031/07	ps2013/031/216	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-10-02-ps2013-031-07-006-216	ParlaMint-CZ_2015-10-02-ps2013-031-07-006-216.u5	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-02	2015-10-02	Lower house	ps2013	-	ps2013/031	ps2013/031/07	ps2013/031/216	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	VaclavVotava.1956	Votava, Václav	M	1956	
ParlaMint-CZ-en_2015-10-02-ps2013-031-07-006-216	ParlaMint-CZ_2015-10-02-ps2013-031-07-006-216.u6	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-02	2015-10-02	Lower house	ps2013	-	ps2013/031	ps2013/031/07	ps2013/031/216	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-10-02-ps2013-031-07-006-216	ParlaMint-CZ_2015-10-02-ps2013-031-07-006-216.u7	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-02	2015-10-02	Lower house	ps2013	-	ps2013/031	ps2013/031/07	ps2013/031/216	Reference	English	Regular	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	VaclavKlucka.1953	Klučka, Václav	M	1953	
ParlaMint-CZ-en_2015-10-02-ps2013-031-07-006-216	ParlaMint-CZ_2015-10-02-ps2013-031-07-006-216.u8	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-02	2015-10-02	Lower house	ps2013	-	ps2013/031	ps2013/031/07	ps2013/031/216	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-10-02-ps2013-031-07-006-216	ParlaMint-CZ_2015-10-02-ps2013-031-07-006-216.u9	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-02	2015-10-02	Lower house	ps2013	-	ps2013/031	ps2013/031/07	ps2013/031/216	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
ParlaMint-CZ-en_2015-10-02-ps2013-031-07-006-216	ParlaMint-CZ_2015-10-02-ps2013-031-07-006-216.u10	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-02	2015-10-02	Lower house	ps2013	-	ps2013/031	ps2013/031/07	ps2013/031/216	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-10-02-ps2013-031-07-006-216	ParlaMint-CZ_2015-10-02-ps2013-031-07-006-216.u11	Parliament of the Czech Republic, Chamber of Deputies, 2015-10-02	2015-10-02	Lower house	ps2013	-	ps2013/031	ps2013/031/07	ps2013/031/216	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	MarekBenda.1968	Benda, Marek	M	1968	
