Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2015-01-23-ps2013-025-04-002-088	ParlaMint-CZ_2015-01-23-ps2013-025-04-002-088.u1	Parliament of the Czech Republic, Chamber of Deputies, 2015-01-23	2015-01-23	Lower house	ps2013	-	ps2013/025	ps2013/025/04	ps2013/025/088	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2015-01-23-ps2013-025-04-002-088	ParlaMint-CZ_2015-01-23-ps2013-025-04-002-088.u2	Parliament of the Czech Republic, Chamber of Deputies, 2015-01-23	2015-01-23	Lower house	ps2013	-	ps2013/025	ps2013/025/04	ps2013/025/088	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2015-01-23-ps2013-025-04-002-088	ParlaMint-CZ_2015-01-23-ps2013-025-04-002-088.u3	Parliament of the Czech Republic, Chamber of Deputies, 2015-01-23	2015-01-23	Lower house	ps2013	-	ps2013/025	ps2013/025/04	ps2013/025/088	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
