Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2016-07-13-54-commissie-ic479x	ParlaMint-BE_2016-07-13-54-commissie-ic479x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-07-2016	2016-07-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	HellingsBenoit	Hellings, Benoit	M	1978	
ParlaMint-BE-en_2016-07-13-54-commissie-ic479x	ParlaMint-BE_2016-07-13-54-commissie-ic479x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-07-2016	2016-07-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2016-07-13-54-commissie-ic479x	ParlaMint-BE_2016-07-13-54-commissie-ic479x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-07-2016	2016-07-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2016-07-13-54-commissie-ic479x	ParlaMint-BE_2016-07-13-54-commissie-ic479x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-07-2016	2016-07-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2016-07-13-54-commissie-ic479x	ParlaMint-BE_2016-07-13-54-commissie-ic479x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-07-2016	2016-07-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2016-07-13-54-commissie-ic479x	ParlaMint-BE_2016-07-13-54-commissie-ic479x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-07-2016	2016-07-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2016-07-13-54-commissie-ic479x	ParlaMint-BE_2016-07-13-54-commissie-ic479x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-07-2016	2016-07-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2016-07-13-54-commissie-ic479x	ParlaMint-BE_2016-07-13-54-commissie-ic479x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-07-2016	2016-07-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2016-07-13-54-commissie-ic479x	ParlaMint-BE_2016-07-13-54-commissie-ic479x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-07-2016	2016-07-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeCrooAlexander	De Croo, Alexander	M	1975	
ParlaMint-BE-en_2016-07-13-54-commissie-ic479x	ParlaMint-BE_2016-07-13-54-commissie-ic479x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-07-2016	2016-07-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	GrovoniusGwenaëlle	Grovonius, Gwenaëlle	F	1978	
ParlaMint-BE-en_2016-07-13-54-commissie-ic479x	ParlaMint-BE_2016-07-13-54-commissie-ic479x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-07-2016	2016-07-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	VanderMaelenDirk	Van der Maelen, Dirk	M	1953	
