Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2006-07-12-SDZ4-Izredna-20	ParlaMint-SI_2006-07-12-SDZ4-Izredna-20.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 20, (12. 07. 2006)	2006-07-12	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	KlavoraVasja	Klavora, Vasja	M	1936	
ParlaMint-SI-en_2006-07-12-SDZ4-Izredna-20	ParlaMint-SI_2006-07-12-SDZ4-Izredna-20.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 20, (12. 07. 2006)	2006-07-12	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SNS	Slovenian National Party	Opposition	Right to far-right	PečeSašo	Peče, Sašo	M	1971	
ParlaMint-SI-en_2006-07-12-SDZ4-Izredna-20	ParlaMint-SI_2006-07-12-SDZ4-Izredna-20.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 20, (12. 07. 2006)	2006-07-12	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	KlavoraVasja	Klavora, Vasja	M	1936	
ParlaMint-SI-en_2006-07-12-SDZ4-Izredna-20	ParlaMint-SI_2006-07-12-SDZ4-Izredna-20.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 20, (12. 07. 2006)	2006-07-12	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SNS	Slovenian National Party	Opposition	Right to far-right	PečeSašo	Peče, Sašo	M	1971	
ParlaMint-SI-en_2006-07-12-SDZ4-Izredna-20	ParlaMint-SI_2006-07-12-SDZ4-Izredna-20.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 20, (12. 07. 2006)	2006-07-12	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	KlavoraVasja	Klavora, Vasja	M	1936	
ParlaMint-SI-en_2006-07-12-SDZ4-Izredna-20	ParlaMint-SI_2006-07-12-SDZ4-Izredna-20.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 20, (12. 07. 2006)	2006-07-12	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	LDS	Liberal Democracy of Slovenia	Opposition	Centre to centre-left	CviklMilanMartin	Cvikl, Milan Martin	M	1959	
ParlaMint-SI-en_2006-07-12-SDZ4-Izredna-20	ParlaMint-SI_2006-07-12-SDZ4-Izredna-20.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 20, (12. 07. 2006)	2006-07-12	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	KlavoraVasja	Klavora, Vasja	M	1936	
ParlaMint-SI-en_2006-07-12-SDZ4-Izredna-20	ParlaMint-SI_2006-07-12-SDZ4-Izredna-20.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 20, (12. 07. 2006)	2006-07-12	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SD	Social Democrats	Opposition	Centre-left	PotrčMiran	Potrč, Miran	M	1938	
ParlaMint-SI-en_2006-07-12-SDZ4-Izredna-20	ParlaMint-SI_2006-07-12-SDZ4-Izredna-20.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 20, (12. 07. 2006)	2006-07-12	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	KlavoraVasja	Klavora, Vasja	M	1936	
ParlaMint-SI-en_2006-07-12-SDZ4-Izredna-20	ParlaMint-SI_2006-07-12-SDZ4-Izredna-20.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 20, (12. 07. 2006)	2006-07-12	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2006-07-12-SDZ4-Izredna-20	ParlaMint-SI_2006-07-12-SDZ4-Izredna-20.ana.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 20, (12. 07. 2006)	2006-07-12	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	KlavoraVasja	Klavora, Vasja	M	1936	
