Session,Date,Silent Generation,Baby Boomers,Generation X,Millennials,Generation Z
ParlaMint-ES-CT-en_2015-10-26-0101-meta.tsv,2015-10-26,1,2,1,1,0
ParlaMint-ES-CT-en_2015-11-09-0301-meta.tsv,2015-11-09,0,6,6,1,0
ParlaMint-ES-CT-en_2015-11-10-0302-meta.tsv,2015-11-10,0,5,3,1,0
ParlaMint-ES-CT-en_2015-11-12-0303-meta.tsv,2015-11-12,0,6,3,1,0
ParlaMint-ES-CT-en_2015-11-19-0401-meta.tsv,2015-11-19,0,4,6,0,0
ParlaMint-ES-CT-en_2016-01-07-0501-meta.tsv,2016-01-07,0,2,0,0,0
ParlaMint-ES-CT-en_2016-01-10-0601-meta.tsv,2016-01-10,0,5,4,1,0
ParlaMint-ES-CT-en_2016-01-20-0701-meta.tsv,2016-01-20,0,13,12,1,0
ParlaMint-ES-CT-en_2016-02-03-0801-meta.tsv,2016-02-03,0,20,23,3,0
ParlaMint-ES-CT-en_2016-02-17-0901-meta.tsv,2016-02-17,0,19,33,5,0
ParlaMint-ES-CT-en_2016-03-02-1001-meta.tsv,2016-03-02,0,15,21,4,0
ParlaMint-ES-CT-en_2016-03-03-1002-meta.tsv,2016-03-03,0,14,22,2,0
ParlaMint-ES-CT-en_2016-03-09-1101-meta.tsv,2016-03-09,0,8,9,2,0
ParlaMint-ES-CT-en_2016-03-10-1102-meta.tsv,2016-03-10,0,2,5,1,0
ParlaMint-ES-CT-en_2016-03-16-1201-meta.tsv,2016-03-16,0,16,22,4,0
ParlaMint-ES-CT-en_2016-03-17-1202-meta.tsv,2016-03-17,0,10,13,9,0
ParlaMint-ES-CT-en_2016-04-06-1301-meta.tsv,2016-04-06,0,22,22,3,0
ParlaMint-ES-CT-en_2016-04-07-1302-meta.tsv,2016-04-07,0,17,19,6,0
ParlaMint-ES-CT-en_2016-04-20-1401-meta.tsv,2016-04-20,0,16,26,2,0
ParlaMint-ES-CT-en_2016-04-21-1402-meta.tsv,2016-04-21,0,14,17,7,0
ParlaMint-ES-CT-en_2016-05-04-1501-meta.tsv,2016-05-04,1,17,17,5,0
ParlaMint-ES-CT-en_2016-05-05-1502-meta.tsv,2016-05-05,0,15,34,7,0
ParlaMint-ES-CT-en_2016-05-18-1601-meta.tsv,2016-05-18,1,15,21,2,0
ParlaMint-ES-CT-en_2016-05-19-1602-meta.tsv,2016-05-19,0,15,26,9,0
ParlaMint-ES-CT-en_2016-06-01-1701-meta.tsv,2016-06-01,0,20,23,6,0
ParlaMint-ES-CT-en_2016-06-02-1702-meta.tsv,2016-06-02,0,22,30,4,0
ParlaMint-ES-CT-en_2016-06-08-1801-meta.tsv,2016-06-08,0,8,6,1,0
ParlaMint-ES-CT-en_2016-06-09-1802-meta.tsv,2016-06-09,0,10,17,2,0
ParlaMint-ES-CT-en_2016-06-29-1901-meta.tsv,2016-06-29,0,15,25,6,0
ParlaMint-ES-CT-en_2016-06-30-1902-meta.tsv,2016-06-30,0,14,24,3,0
ParlaMint-ES-CT-en_2016-07-13-2001-meta.tsv,2016-07-13,0,16,27,5,0
ParlaMint-ES-CT-en_2016-07-14-2002-meta.tsv,2016-07-14,0,18,27,4,0
ParlaMint-ES-CT-en_2016-07-26-2101-meta.tsv,2016-07-26,0,5,9,0,0
ParlaMint-ES-CT-en_2016-07-27-2102-meta.tsv,2016-07-27,0,23,28,6,0
ParlaMint-ES-CT-en_2016-07-27-2103-meta.tsv,2016-07-27,0,21,29,6,0
ParlaMint-ES-CT-en_2016-09-28-2201-meta.tsv,2016-09-28,0,3,0,0,0
ParlaMint-ES-CT-en_2016-09-29-2202-meta.tsv,2016-09-29,0,7,4,1,0
ParlaMint-ES-CT-en_2016-10-05-2301-meta.tsv,2016-10-05,0,5,4,2,0
ParlaMint-ES-CT-en_2016-10-06-2302-meta.tsv,2016-10-06,0,4,7,1,0
ParlaMint-ES-CT-en_2016-10-18-2401-meta.tsv,2016-10-18,0,3,7,2,0
ParlaMint-ES-CT-en_2016-10-19-2402-meta.tsv,2016-10-19,0,18,26,5,0
ParlaMint-ES-CT-en_2016-10-20-2403-meta.tsv,2016-10-20,0,14,25,7,0
ParlaMint-ES-CT-en_2016-11-09-2501-meta.tsv,2016-11-09,0,22,25,4,0
ParlaMint-ES-CT-en_2016-11-10-2502-meta.tsv,2016-11-10,0,15,26,4,0
ParlaMint-ES-CT-en_2016-11-30-2601-meta.tsv,2016-11-30,0,25,20,6,0
ParlaMint-ES-CT-en_2016-12-01-2602-meta.tsv,2016-12-01,0,13,26,10,0
ParlaMint-ES-CT-en_2016-12-20-2701-meta.tsv,2016-12-20,0,3,5,0,0
ParlaMint-ES-CT-en_2016-12-21-2702-meta.tsv,2016-12-21,0,19,27,9,0
ParlaMint-ES-CT-en_2016-12-22-2703-meta.tsv,2016-12-22,0,19,22,4,0
ParlaMint-ES-CT-en_2017-01-25-2801-meta.tsv,2017-01-25,0,17,24,7,0
ParlaMint-ES-CT-en_2017-01-26-2802-meta.tsv,2017-01-26,0,16,28,5,0
ParlaMint-ES-CT-en_2017-02-08-2901-meta.tsv,2017-02-08,0,16,26,6,0
ParlaMint-ES-CT-en_2017-02-09-2902-meta.tsv,2017-02-09,0,17,22,6,0
ParlaMint-ES-CT-en_2017-02-22-3001-meta.tsv,2017-02-22,0,13,23,6,0
ParlaMint-ES-CT-en_2017-02-23-3002-meta.tsv,2017-02-23,0,16,23,6,0
ParlaMint-ES-CT-en_2017-03-08-3101-meta.tsv,2017-03-08,0,15,29,5,0
ParlaMint-ES-CT-en_2017-03-09-3102-meta.tsv,2017-03-09,0,12,28,4,0
ParlaMint-ES-CT-en_2017-03-21-3201-meta.tsv,2017-03-21,0,5,4,0,0
ParlaMint-ES-CT-en_2017-03-22-3202-meta.tsv,2017-03-22,0,17,21,4,0
ParlaMint-ES-CT-en_2017-03-23-3203-meta.tsv,2017-03-23,0,14,28,7,0
ParlaMint-ES-CT-en_2017-04-05-3301-meta.tsv,2017-04-05,1,21,20,5,0
ParlaMint-ES-CT-en_2017-04-06-3302-meta.tsv,2017-04-06,0,17,24,5,0
ParlaMint-ES-CT-en_2017-04-26-3401-meta.tsv,2017-04-26,0,18,24,2,0
ParlaMint-ES-CT-en_2017-04-27-3402-meta.tsv,2017-04-27,0,14,22,6,0
ParlaMint-ES-CT-en_2017-05-17-3501-meta.tsv,2017-05-17,0,16,28,4,0
ParlaMint-ES-CT-en_2017-05-18-3502-meta.tsv,2017-05-18,0,14,22,7,0
ParlaMint-ES-CT-en_2017-05-31-3601-meta.tsv,2017-05-31,0,18,17,6,0
ParlaMint-ES-CT-en_2017-06-01-3602-meta.tsv,2017-06-01,0,15,21,6,0
ParlaMint-ES-CT-en_2017-06-14-3701-meta.tsv,2017-06-14,0,14,25,5,0
