Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2020-05-06-S1-commons	ParlaMint-GR_2020-05-06-S1-commons.u1	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 133, 2020-05-06	2020-05-06	Unicameralism	18	1	-	133	-	COVID	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2020-05-06-S1-commons	ParlaMint-GR_2020-05-06-S1-commons.u2	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 133, 2020-05-06	2020-05-06	Unicameralism	18	1	-	133	-	COVID	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2020-05-06-S1-commons	ParlaMint-GR_2020-05-06-S1-commons.u3	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 133, 2020-05-06	2020-05-06	Unicameralism	18	1	-	133	-	COVID	English	Regular	MP	notMinister	KIN.AL.	Movement for Change	Opposition	Centre-left	ΚΑΜΙΝΗΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Kaminīs, Geōrgios	M	-	
ParlaMint-GR-en_2020-05-06-S1-commons	ParlaMint-GR_2020-05-06-S1-commons.u4	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 133, 2020-05-06	2020-05-06	Unicameralism	18	1	-	133	-	COVID	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2020-05-06-S1-commons	ParlaMint-GR_2020-05-06-S1-commons.u5	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 133, 2020-05-06	2020-05-06	Unicameralism	18	1	-	133	-	COVID	English	Regular	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΓΕΩΡΓΙΑΔΗΣ_ΑΘΑΝΑΣΙΟΥ_ΣΠΥΡΙΔΩΝ-ΑΔΩΝΙΣ	Geōrgiadīs, Spyridōn Adōnis	M	-	
ParlaMint-GR-en_2020-05-06-S1-commons	ParlaMint-GR_2020-05-06-S1-commons.u6	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 133, 2020-05-06	2020-05-06	Unicameralism	18	1	-	133	-	COVID	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2020-05-06-S1-commons	ParlaMint-GR_2020-05-06-S1-commons.u7	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 133, 2020-05-06	2020-05-06	Unicameralism	18	1	-	133	-	COVID	English	Regular	MP	notMinister	KIN.AL.	Movement for Change	Opposition	Centre-left	ΚΑΜΙΝΗΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Kaminīs, Geōrgios	M	-	
ParlaMint-GR-en_2020-05-06-S1-commons	ParlaMint-GR_2020-05-06-S1-commons.u8	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 133, 2020-05-06	2020-05-06	Unicameralism	18	1	-	133	-	COVID	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2020-05-06-S1-commons	ParlaMint-GR_2020-05-06-S1-commons.u9	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 133, 2020-05-06	2020-05-06	Unicameralism	18	1	-	133	-	COVID	English	Regular	MP	notMinister	KIN.AL.	Movement for Change	Opposition	Centre-left	ΚΑΜΙΝΗΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Kaminīs, Geōrgios	M	-	
ParlaMint-GR-en_2020-05-06-S1-commons	ParlaMint-GR_2020-05-06-S1-commons.u10	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 133, 2020-05-06	2020-05-06	Unicameralism	18	1	-	133	-	COVID	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2020-05-06-S1-commons	ParlaMint-GR_2020-05-06-S1-commons.u11	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 133, 2020-05-06	2020-05-06	Unicameralism	18	1	-	133	-	COVID	English	Regular	MP	notMinister	KIN.AL.	Movement for Change	Opposition	Centre-left	ΚΑΜΙΝΗΣ_ΒΑΣΙΛΕΙΟΥ_ΓΕΩΡΓΙΟΣ	Kaminīs, Geōrgios	M	-	
ParlaMint-GR-en_2020-05-06-S1-commons	ParlaMint-GR_2020-05-06-S1-commons.u12	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 133, 2020-05-06	2020-05-06	Unicameralism	18	1	-	133	-	COVID	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
ParlaMint-GR-en_2020-05-06-S1-commons	ParlaMint-GR_2020-05-06-S1-commons.u13	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 133, 2020-05-06	2020-05-06	Unicameralism	18	1	-	133	-	COVID	English	Regular	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΓΕΩΡΓΙΑΔΗΣ_ΑΘΑΝΑΣΙΟΥ_ΣΠΥΡΙΔΩΝ-ΑΔΩΝΙΣ	Geōrgiadīs, Spyridōn Adōnis	M	-	
ParlaMint-GR-en_2020-05-06-S1-commons	ParlaMint-GR_2020-05-06-S1-commons.u14	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 133, 2020-05-06	2020-05-06	Unicameralism	18	1	-	133	-	COVID	English	Chairperson	MP	notMinister	E.L.	Greek Solution	Opposition	Right to far-right	ΑΒΔΕΛΑΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΠΟΣΤΟΛΟΣ	Avdelas, Apostolos	M	-	
