Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2014-06-11-ps2013-010-02-005-022	ParlaMint-CZ_2014-06-11-ps2013-010-02-005-022.u1	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-11	2014-06-11	Lower house	ps2013	-	ps2013/010	ps2013/010/02	ps2013/010/022	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-06-11-ps2013-010-02-005-022	ParlaMint-CZ_2014-06-11-ps2013-010-02-005-022.u2	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-11	2014-06-11	Lower house	ps2013	-	ps2013/010	ps2013/010/02	ps2013/010/022	Reference	English	Regular	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RichardBrabec.1966	Brabec, Richard	M	1966	
ParlaMint-CZ-en_2014-06-11-ps2013-010-02-005-022	ParlaMint-CZ_2014-06-11-ps2013-010-02-005-022.u3	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-11	2014-06-11	Lower house	ps2013	-	ps2013/010	ps2013/010/02	ps2013/010/022	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-06-11-ps2013-010-02-005-022	ParlaMint-CZ_2014-06-11-ps2013-010-02-005-022.u4	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-11	2014-06-11	Lower house	ps2013	-	ps2013/010	ps2013/010/02	ps2013/010/022	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JosefHajek.1956	Hájek, Josef	M	1956	
ParlaMint-CZ-en_2014-06-11-ps2013-010-02-005-022	ParlaMint-CZ_2014-06-11-ps2013-010-02-005-022.u5	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-11	2014-06-11	Lower house	ps2013	-	ps2013/010	ps2013/010/02	ps2013/010/022	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-06-11-ps2013-010-02-005-022	ParlaMint-CZ_2014-06-11-ps2013-010-02-005-022.u6	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-11	2014-06-11	Lower house	ps2013	-	ps2013/010	ps2013/010/02	ps2013/010/022	Reference	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Opposition	Centre-right to right	JanZahradnik.1949	Zahradník, Jan	M	1949	
ParlaMint-CZ-en_2014-06-11-ps2013-010-02-005-022	ParlaMint-CZ_2014-06-11-ps2013-010-02-005-022.u7	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-11	2014-06-11	Lower house	ps2013	-	ps2013/010	ps2013/010/02	ps2013/010/022	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-06-11-ps2013-010-02-005-022	ParlaMint-CZ_2014-06-11-ps2013-010-02-005-022.u8	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-11	2014-06-11	Lower house	ps2013	-	ps2013/010	ps2013/010/02	ps2013/010/022	Reference	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JosefHajek.1956	Hájek, Josef	M	1956	
ParlaMint-CZ-en_2014-06-11-ps2013-010-02-005-022	ParlaMint-CZ_2014-06-11-ps2013-010-02-005-022.u9	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-11	2014-06-11	Lower house	ps2013	-	ps2013/010	ps2013/010/02	ps2013/010/022	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-06-11-ps2013-010-02-005-022	ParlaMint-CZ_2014-06-11-ps2013-010-02-005-022.u10	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-11	2014-06-11	Lower house	ps2013	-	ps2013/010	ps2013/010/02	ps2013/010/022	Reference	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JiriMihola.1972	Mihola, Jiří	M	1972	
ParlaMint-CZ-en_2014-06-11-ps2013-010-02-005-022	ParlaMint-CZ_2014-06-11-ps2013-010-02-005-022.u11	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-11	2014-06-11	Lower house	ps2013	-	ps2013/010	ps2013/010/02	ps2013/010/022	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
ParlaMint-CZ-en_2014-06-11-ps2013-010-02-005-022	ParlaMint-CZ_2014-06-11-ps2013-010-02-005-022.u12	Parliament of the Czech Republic, Chamber of Deputies, 2014-06-11	2014-06-11	Lower house	ps2013	-	ps2013/010	ps2013/010/02	ps2013/010/022	Reference	English	Chairperson	MP	notMinister	ČSSD	Political group Czech Social Democratic Party	Coalition	Centre-left	JanHamacek.1978	Hamáček, Jan	M	1978	
