Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2021-04-15-PT13-2236	ParlaMint-LV_2021-04-15-PT13-2236-U1	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-15	2021-04-15	Unicameralism	13. sasaukums	-	Regulārā	2021-04-15	-	COVID	English	Chairperson	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	Beitnere-LeGallaDagmāra	Beitnere-Le Galla, Dagmāra	F	-	
ParlaMint-LV-en_2021-04-15-PT13-2236	ParlaMint-LV_2021-04-15-PT13-2236-U2	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-15	2021-04-15	Unicameralism	13. sasaukums	-	Regulārā	2021-04-15	-	COVID	English	Regular	MP	notMinister	KPV-LV	Kam pieder valsts?	Coalition	Centre-right to right	NemiroRalfs	Nemiro, Ralfs	M	-	
ParlaMint-LV-en_2021-04-15-PT13-2236	ParlaMint-LV_2021-04-15-PT13-2236-U3	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-15	2021-04-15	Unicameralism	13. sasaukums	-	Regulārā	2021-04-15	-	COVID	English	Chairperson	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	Beitnere-LeGallaDagmāra	Beitnere-Le Galla, Dagmāra	F	-	
ParlaMint-LV-en_2021-04-15-PT13-2236	ParlaMint-LV_2021-04-15-PT13-2236-U4	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-15	2021-04-15	Unicameralism	13. sasaukums	-	Regulārā	2021-04-15	-	COVID	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	FeldmansKrišjānis	Feldmans, Krišjānis	M	-	
ParlaMint-LV-en_2021-04-15-PT13-2236	ParlaMint-LV_2021-04-15-PT13-2236-U5	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-15	2021-04-15	Unicameralism	13. sasaukums	-	Regulārā	2021-04-15	-	COVID	English	Chairperson	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	Beitnere-LeGallaDagmāra	Beitnere-Le Galla, Dagmāra	F	-	
ParlaMint-LV-en_2021-04-15-PT13-2236	ParlaMint-LV_2021-04-15-PT13-2236-U6	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-15	2021-04-15	Unicameralism	13. sasaukums	-	Regulārā	2021-04-15	-	COVID	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	DolgopolovsSergejs	Dolgopolovs, Sergejs	M	-	
ParlaMint-LV-en_2021-04-15-PT13-2236	ParlaMint-LV_2021-04-15-PT13-2236-U7	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-15	2021-04-15	Unicameralism	13. sasaukums	-	Regulārā	2021-04-15	-	COVID	English	Chairperson	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	Beitnere-LeGallaDagmāra	Beitnere-Le Galla, Dagmāra	F	-	
ParlaMint-LV-en_2021-04-15-PT13-2236	ParlaMint-LV_2021-04-15-PT13-2236-U8	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-15	2021-04-15	Unicameralism	13. sasaukums	-	Regulārā	2021-04-15	-	COVID	English	Regular	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	TeirumnieksEdmunds	Teirumnieks, Edmunds	M	-	
ParlaMint-LV-en_2021-04-15-PT13-2236	ParlaMint-LV_2021-04-15-PT13-2236-U9	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-15	2021-04-15	Unicameralism	13. sasaukums	-	Regulārā	2021-04-15	-	COVID	English	Chairperson	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	Beitnere-LeGallaDagmāra	Beitnere-Le Galla, Dagmāra	F	-	
ParlaMint-LV-en_2021-04-15-PT13-2236	ParlaMint-LV_2021-04-15-PT13-2236-U10	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-15	2021-04-15	Unicameralism	13. sasaukums	-	Regulārā	2021-04-15	-	COVID	English	Regular	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	TeirumnieksEdmunds	Teirumnieks, Edmunds	M	-	
