Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2021-04-08-PT13-2234	ParlaMint-LV_2021-04-08-PT13-2234-U1	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-08	2021-04-08	Unicameralism	13. sasaukums	-	Regulārā	2021-04-08	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-04-08-PT13-2234	ParlaMint-LV_2021-04-08-PT13-2234-U2	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-08	2021-04-08	Unicameralism	13. sasaukums	-	Regulārā	2021-04-08	-	COVID	English	Regular	MP	notMinister	ZZS	Zaļo un Zemnieku savienība	Opposition	Centre to centre-right	ValainisViktors	Valainis, Viktors	M	-	
ParlaMint-LV-en_2021-04-08-PT13-2234	ParlaMint-LV_2021-04-08-PT13-2234-U3	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-08	2021-04-08	Unicameralism	13. sasaukums	-	Regulārā	2021-04-08	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-04-08-PT13-2234	ParlaMint-LV_2021-04-08-PT13-2234-U4	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-08	2021-04-08	Unicameralism	13. sasaukums	-	Regulārā	2021-04-08	-	COVID	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	AgešinsValērijs	Agešins, Valērijs	M	-	
ParlaMint-LV-en_2021-04-08-PT13-2234	ParlaMint-LV_2021-04-08-PT13-2234-U5	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-08	2021-04-08	Unicameralism	13. sasaukums	-	Regulārā	2021-04-08	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-04-08-PT13-2234	ParlaMint-LV_2021-04-08-PT13-2234-U6	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-08	2021-04-08	Unicameralism	13. sasaukums	-	Regulārā	2021-04-08	-	COVID	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	AgešinsValērijs	Agešins, Valērijs	M	-	
ParlaMint-LV-en_2021-04-08-PT13-2234	ParlaMint-LV_2021-04-08-PT13-2234-U7	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-08	2021-04-08	Unicameralism	13. sasaukums	-	Regulārā	2021-04-08	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-04-08-PT13-2234	ParlaMint-LV_2021-04-08-PT13-2234-U8	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-08	2021-04-08	Unicameralism	13. sasaukums	-	Regulārā	2021-04-08	-	COVID	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	ZariņšIvars	Zariņš, Ivars	M	-	
ParlaMint-LV-en_2021-04-08-PT13-2234	ParlaMint-LV_2021-04-08-PT13-2234-U9	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-08	2021-04-08	Unicameralism	13. sasaukums	-	Regulārā	2021-04-08	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-04-08-PT13-2234	ParlaMint-LV_2021-04-08-PT13-2234-U10	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-08	2021-04-08	Unicameralism	13. sasaukums	-	Regulārā	2021-04-08	-	COVID	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	ZariņšIvars	Zariņš, Ivars	M	-	
ParlaMint-LV-en_2021-04-08-PT13-2234	ParlaMint-LV_2021-04-08-PT13-2234-U11	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-08	2021-04-08	Unicameralism	13. sasaukums	-	Regulārā	2021-04-08	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-04-08-PT13-2234	ParlaMint-LV_2021-04-08-PT13-2234-U12	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-08	2021-04-08	Unicameralism	13. sasaukums	-	Regulārā	2021-04-08	-	COVID	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	ZariņšIvars	Zariņš, Ivars	M	-	
ParlaMint-LV-en_2021-04-08-PT13-2234	ParlaMint-LV_2021-04-08-PT13-2234-U13	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-04-08	2021-04-08	Unicameralism	13. sasaukums	-	Regulārā	2021-04-08	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
