Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u1	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u2	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	PedroSánchezPérezCastejón	Sánchez Pérez-Castejón, Pedro	M	1972	
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u3	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u4	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Regular	MP	notMinister	PP	Partido Popular	Opposition	Centre-right to right	PabloCasadoBlanco	Casado Blanco, Pablo	M	1981	
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u5	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u6	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	AlbertRiveraDíaz	Rivera Díaz, Albert	M	1979	
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u7	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u8	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	AlbertRiveraDíaz	Rivera Díaz, Albert	M	1979	
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u9	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u10	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Regular	MP	notMinister	UP	Unidas Podemos	Opposition	Left	PabloIglesiasTurrión	Iglesias Turrión, Pablo	M	1978	
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u11	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u12	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Regular	MP	notMinister	UP	Unidas Podemos	Opposition	Left	PabloIglesiasTurrión	Iglesias Turrión, Pablo	M	1978	
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u13	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u14	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Regular	MP	notMinister	Vox	Vox	Opposition	Right to far-right	SantiagoAbascalConde	Abascal Conde, Santiago	M	1976	
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u15	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u16	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Regular	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centre-left to left	GabrielRufiánRomero	Rufián Romero, Gabriel	M	1982	
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u17	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u18	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	AitorEstebanBravo	Esteban Bravo, Aitor	M	1962	
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u19	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u20	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	AitorEstebanBravo	Esteban Bravo, Aitor	M	1962	
ParlaMint-ES-en_2019-07-25-CD190725	ParlaMint-ES_2019-07-25-CD190725.u21	Plenary session 4 (2019-07-25)	2019-07-25	Lower house	Legislatura XIII	Sesión plenaria núm. 4	-	2019-07-25	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
