Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-02-21-ps2021-053-01-005-008	ParlaMint-CZ_2023-02-21-ps2021-053-01-005-008.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-21	2023-02-21	Lower house	ps2021	-	ps2021/053	ps2021/053/01	ps2021/053/008	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-02-21-ps2021-053-01-005-008	ParlaMint-CZ_2023-02-21-ps2021-053-01-005-008.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-21	2023-02-21	Lower house	ps2021	-	ps2021/053	ps2021/053/01	ps2021/053/008	COVID,War	English	Guest	MP	Minister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	IvanBartos.1980	Bartoš, Ivan	M	1980	
ParlaMint-CZ-en_2023-02-21-ps2021-053-01-005-008	ParlaMint-CZ_2023-02-21-ps2021-053-01-005-008.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-21	2023-02-21	Lower house	ps2021	-	ps2021/053	ps2021/053/01	ps2021/053/008	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-02-21-ps2021-053-01-005-008	ParlaMint-CZ_2023-02-21-ps2021-053-01-005-008.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-21	2023-02-21	Lower house	ps2021	-	ps2021/053	ps2021/053/01	ps2021/053/008	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	ZuzanaOzanova.1970	Ožanová, Zuzana	F	1970	
ParlaMint-CZ-en_2023-02-21-ps2021-053-01-005-008	ParlaMint-CZ_2023-02-21-ps2021-053-01-005-008.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-21	2023-02-21	Lower house	ps2021	-	ps2021/053	ps2021/053/01	ps2021/053/008	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
