Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-03-07-ps2021-053-05-003-131	ParlaMint-CZ_2023-03-07-ps2021-053-05-003-131.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-07	2023-03-07	Lower house	ps2021	-	ps2021/053	ps2021/053/05	ps2021/053/131	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2023-03-07-ps2021-053-05-003-131	ParlaMint-CZ_2023-03-07-ps2021-053-05-003-131.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-07	2023-03-07	Lower house	ps2021	-	ps2021/053	ps2021/053/05	ps2021/053/131	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MartinKupka.1975	Kupka, Martin	M	1975	
ParlaMint-CZ-en_2023-03-07-ps2021-053-05-003-131	ParlaMint-CZ_2023-03-07-ps2021-053-05-003-131.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-07	2023-03-07	Lower house	ps2021	-	ps2021/053	ps2021/053/05	ps2021/053/131	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2023-03-07-ps2021-053-05-003-131	ParlaMint-CZ_2023-03-07-ps2021-053-05-003-131.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-07	2023-03-07	Lower house	ps2021	-	ps2021/053	ps2021/053/05	ps2021/053/131	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JiriHavranek.1992	Havránek, Jiří	M	1992	
ParlaMint-CZ-en_2023-03-07-ps2021-053-05-003-131	ParlaMint-CZ_2023-03-07-ps2021-053-05-003-131.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-07	2023-03-07	Lower house	ps2021	-	ps2021/053	ps2021/053/05	ps2021/053/131	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
ParlaMint-CZ-en_2023-03-07-ps2021-053-05-003-131	ParlaMint-CZ_2023-03-07-ps2021-053-05-003-131.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-07	2023-03-07	Lower house	ps2021	-	ps2021/053	ps2021/053/05	ps2021/053/131	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanBures.1974	Bureš, Jan	M	1974	
ParlaMint-CZ-en_2023-03-07-ps2021-053-05-003-131	ParlaMint-CZ_2023-03-07-ps2021-053-05-003-131.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-07	2023-03-07	Lower house	ps2021	-	ps2021/053	ps2021/053/05	ps2021/053/131	COVID,War	English	Chairperson	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	VeraKovarova.1964	Kovářová, Věra	F	1964	
