Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-005-009	ParlaMint-CZ_2023-01-11-ps2021-050-02-005-009.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/009	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-005-009	ParlaMint-CZ_2023-01-11-ps2021-050-02-005-009.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/009	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MartinKupka.1975	Kupka, Martin	M	1975	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-005-009	ParlaMint-CZ_2023-01-11-ps2021-050-02-005-009.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/009	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-005-009	ParlaMint-CZ_2023-01-11-ps2021-050-02-005-009.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/009	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	OndrejLochman.1980	Lochman, Ondřej	M	1980	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-005-009	ParlaMint-CZ_2023-01-11-ps2021-050-02-005-009.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/009	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-005-009	ParlaMint-CZ_2023-01-11-ps2021-050-02-005-009.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/009	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	IvanAdamec.1960	Adamec, Ivan	M	1960	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-005-009	ParlaMint-CZ_2023-01-11-ps2021-050-02-005-009.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/009	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-005-009	ParlaMint-CZ_2023-01-11-ps2021-050-02-005-009.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/009	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	MartinKolovratnik.1975	Kolovratník, Martin	M	1975	
ParlaMint-CZ-en_2023-01-11-ps2021-050-02-005-009	ParlaMint-CZ_2023-01-11-ps2021-050-02-005-009.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-01-11	2023-01-11	Lower house	ps2021	-	ps2021/050	ps2021/050/02	ps2021/050/009	COVID,War	English	Chairperson	MP	notMinister	Piráti	Political group Czech Pirate Party	Coalition	Centre to centre-left	OlgaRichterova.1985	Richterová, Olga	F	1985	
