Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-03-30-definitief-55-commissie-ic431x	ParlaMint-BE_2021-03-30-definitief-55-commissie-ic431x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2021	2021-03-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	WillaertEvita	Willaert, Evita	F	1981	
ParlaMint-BE-en_2021-03-30-definitief-55-commissie-ic431x	ParlaMint-BE_2021-03-30-definitief-55-commissie-ic431x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2021	2021-03-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	VanrobaeysAnja	Vanrobaeys, Anja	F	1968	
ParlaMint-BE-en_2021-03-30-definitief-55-commissie-ic431x	ParlaMint-BE_2021-03-30-definitief-55-commissie-ic431x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2021	2021-03-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	VandenBurreGilles	Vanden Burre, Gilles	M	1978	
ParlaMint-BE-en_2021-03-30-definitief-55-commissie-ic431x	ParlaMint-BE_2021-03-30-definitief-55-commissie-ic431x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2021	2021-03-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	DeJongeTania	De Jonge, Tania	F	1969	
ParlaMint-BE-en_2021-03-30-definitief-55-commissie-ic431x	ParlaMint-BE_2021-03-30-definitief-55-commissie-ic431x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2021	2021-03-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	LanjriNahima	Lanjri, Nahima	F	1968	
ParlaMint-BE-en_2021-03-30-definitief-55-commissie-ic431x	ParlaMint-BE_2021-03-30-definitief-55-commissie-ic431x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2021	2021-03-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	AnseeuwBjörn	Anseeuw, Björn	M	1976	
ParlaMint-BE-en_2021-03-30-definitief-55-commissie-ic431x	ParlaMint-BE_2021-03-30-definitief-55-commissie-ic431x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2021	2021-03-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	LeroyMarieColline	Leroy, Marie-Colline	F	1984	
ParlaMint-BE-en_2021-03-30-definitief-55-commissie-ic431x	ParlaMint-BE_2021-03-30-definitief-55-commissie-ic431x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2021	2021-03-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	BombledChristophe	Bombled, Christophe	M	1973	
ParlaMint-BE-en_2021-03-30-definitief-55-commissie-ic431x	ParlaMint-BE_2021-03-30-definitief-55-commissie-ic431x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2021	2021-03-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	LeroyMarieColline	Leroy, Marie-Colline	F	1984	
ParlaMint-BE-en_2021-03-30-definitief-55-commissie-ic431x	ParlaMint-BE_2021-03-30-definitief-55-commissie-ic431x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2021	2021-03-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	FonckCatherine	Fonck, Catherine	F	1968	
ParlaMint-BE-en_2021-03-30-definitief-55-commissie-ic431x	ParlaMint-BE_2021-03-30-definitief-55-commissie-ic431x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2021	2021-03-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	ClarinvalDavid	Clarinval, David	M	1976	
ParlaMint-BE-en_2021-03-30-definitief-55-commissie-ic431x	ParlaMint-BE_2021-03-30-definitief-55-commissie-ic431x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2021	2021-03-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Groen	Groen	Coalition	Centre-left to left	WillaertEvita	Willaert, Evita	F	1981	
ParlaMint-BE-en_2021-03-30-definitief-55-commissie-ic431x	ParlaMint-BE_2021-03-30-definitief-55-commissie-ic431x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-03-2021	2021-03-30	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Coalition	Centre-left	VanrobaeysAnja	Vanrobaeys, Anja	F	1968	
