Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2014-12-09-tweedekamer-5	ParlaMint-NL_2014-12-09-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 34, Session 5 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	SanderdeRouwe	de Rouwe, Sander	M	1980	
ParlaMint-NL-en_2014-12-09-tweedekamer-5	ParlaMint-NL_2014-12-09-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 34, Session 5 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2014-12-09-tweedekamer-5	ParlaMint-NL_2014-12-09-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 34, Session 5 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	SanderdeRouwe	de Rouwe, Sander	M	1980	
ParlaMint-NL-en_2014-12-09-tweedekamer-5	ParlaMint-NL_2014-12-09-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 34, Session 5 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2014-12-09-tweedekamer-5	ParlaMint-NL_2014-12-09-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 34, Session 5 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	SietseFritsma	Fritsma, Sietse	M	1972	
ParlaMint-NL-en_2014-12-09-tweedekamer-5	ParlaMint-NL_2014-12-09-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 34, Session 5 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2014-12-09-tweedekamer-5	ParlaMint-NL_2014-12-09-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 34, Session 5 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 34	Sitting 2014-12-09	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-09-tweedekamer-5	ParlaMint-NL_2014-12-09-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 34, Session 5 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2014-12-09-tweedekamer-5	ParlaMint-NL_2014-12-09-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 34, Session 5 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JacquesMonasch	Monasch, Jacques	M	1962	
ParlaMint-NL-en_2014-12-09-tweedekamer-5	ParlaMint-NL_2014-12-09-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 34, Session 5 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 34	Sitting 2014-12-09	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2014-12-09-tweedekamer-5	ParlaMint-NL_2014-12-09-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 34, Session 5 (2014-12-09)	2014-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 34	Sitting 2014-12-09	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
