Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-09-22-eerstekamer-9	ParlaMint-NL_2015-09-22-eerstekamer-9.u1	Report of the meeting of the Dutch Upper House, Meeting 1, Session 9 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 9	Meeting 1	Sitting 2015-09-22	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-09-22-eerstekamer-9	ParlaMint-NL_2015-09-22-eerstekamer-9.u2	Report of the meeting of the Dutch Upper House, Meeting 1, Session 9 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 9	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-09-22-eerstekamer-9	ParlaMint-NL_2015-09-22-eerstekamer-9.u3	Report of the meeting of the Dutch Upper House, Meeting 1, Session 9 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 9	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	RoelKuiper	Kuiper, Roel	M	1962	
ParlaMint-NL-en_2015-09-22-eerstekamer-9	ParlaMint-NL_2015-09-22-eerstekamer-9.u4	Report of the meeting of the Dutch Upper House, Meeting 1, Session 9 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 9	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-09-22-eerstekamer-9	ParlaMint-NL_2015-09-22-eerstekamer-9.u5	Report of the meeting of the Dutch Upper House, Meeting 1, Session 9 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 9	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	RoelKuiper	Kuiper, Roel	M	1962	
ParlaMint-NL-en_2015-09-22-eerstekamer-9	ParlaMint-NL_2015-09-22-eerstekamer-9.u6	Report of the meeting of the Dutch Upper House, Meeting 1, Session 9 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 9	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-09-22-eerstekamer-9	ParlaMint-NL_2015-09-22-eerstekamer-9.u7	Report of the meeting of the Dutch Upper House, Meeting 1, Session 9 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 9	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AnneFlierman	Flierman, Anne	M	1955	
ParlaMint-NL-en_2015-09-22-eerstekamer-9	ParlaMint-NL_2015-09-22-eerstekamer-9.u8	Report of the meeting of the Dutch Upper House, Meeting 1, Session 9 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 9	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-09-22-eerstekamer-9	ParlaMint-NL_2015-09-22-eerstekamer-9.u9	Report of the meeting of the Dutch Upper House, Meeting 1, Session 9 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 9	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AnneFlierman	Flierman, Anne	M	1955	
ParlaMint-NL-en_2015-09-22-eerstekamer-9	ParlaMint-NL_2015-09-22-eerstekamer-9.u10	Report of the meeting of the Dutch Upper House, Meeting 1, Session 9 (2015-09-22)	2015-09-22	Upper house	Meeting of the 35th Eerste Kamer	Session 9	Meeting 1	Sitting 2015-09-22	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
