Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-08-eerstekamer-7	ParlaMint-NL_2015-12-08-eerstekamer-7.u1	Report of the meeting of the Dutch Upper House, Meeting 11, Session 7 (2015-12-08)	2015-12-08	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 11	Sitting 2015-12-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-12-08-eerstekamer-7	ParlaMint-NL_2015-12-08-eerstekamer-7.u2	Report of the meeting of the Dutch Upper House, Meeting 11, Session 7 (2015-12-08)	2015-12-08	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 11	Sitting 2015-12-08	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	JoopAtsma	Atsma, Joop	M	1956	
ParlaMint-NL-en_2015-12-08-eerstekamer-7	ParlaMint-NL_2015-12-08-eerstekamer-7.u3	Report of the meeting of the Dutch Upper House, Meeting 11, Session 7 (2015-12-08)	2015-12-08	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 11	Sitting 2015-12-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-12-08-eerstekamer-7	ParlaMint-NL_2015-12-08-eerstekamer-7.u4	Report of the meeting of the Dutch Upper House, Meeting 11, Session 7 (2015-12-08)	2015-12-08	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 11	Sitting 2015-12-08	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	PaulSchnabel	Schnabel, Paul	M	1948	
ParlaMint-NL-en_2015-12-08-eerstekamer-7	ParlaMint-NL_2015-12-08-eerstekamer-7.u5	Report of the meeting of the Dutch Upper House, Meeting 11, Session 7 (2015-12-08)	2015-12-08	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 11	Sitting 2015-12-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-12-08-eerstekamer-7	ParlaMint-NL_2015-12-08-eerstekamer-7.u6	Report of the meeting of the Dutch Upper House, Meeting 11, Session 7 (2015-12-08)	2015-12-08	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 11	Sitting 2015-12-08	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	ArdaGerkens	Gerkens, Arda	F	1965	
ParlaMint-NL-en_2015-12-08-eerstekamer-7	ParlaMint-NL_2015-12-08-eerstekamer-7.u7	Report of the meeting of the Dutch Upper House, Meeting 11, Session 7 (2015-12-08)	2015-12-08	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 11	Sitting 2015-12-08	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2015-12-08-eerstekamer-7	ParlaMint-NL_2015-12-08-eerstekamer-7.u8	Report of the meeting of the Dutch Upper House, Meeting 11, Session 7 (2015-12-08)	2015-12-08	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 11	Sitting 2015-12-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2015-12-08-eerstekamer-7	ParlaMint-NL_2015-12-08-eerstekamer-7.u9	Report of the meeting of the Dutch Upper House, Meeting 11, Session 7 (2015-12-08)	2015-12-08	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 11	Sitting 2015-12-08	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	ArdaGerkens	Gerkens, Arda	F	1965	
ParlaMint-NL-en_2015-12-08-eerstekamer-7	ParlaMint-NL_2015-12-08-eerstekamer-7.u10	Report of the meeting of the Dutch Upper House, Meeting 11, Session 7 (2015-12-08)	2015-12-08	Upper house	Meeting of the 35th Eerste Kamer	Session 7	Meeting 11	Sitting 2015-12-08	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
