Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-11-18-tweedekamer-3	ParlaMint-NL_2015-11-18-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 26, Session 3 (2015-11-18)	2015-11-18	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 26	Sitting 2015-11-18	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-18-tweedekamer-3	ParlaMint-NL_2015-11-18-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 26, Session 3 (2015-11-18)	2015-11-18	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 26	Sitting 2015-11-18	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FredTeeven	Teeven, Fred	M	1958	
ParlaMint-NL-en_2015-11-18-tweedekamer-3	ParlaMint-NL_2015-11-18-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 26, Session 3 (2015-11-18)	2015-11-18	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 26	Sitting 2015-11-18	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2015-11-18-tweedekamer-3	ParlaMint-NL_2015-11-18-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 26, Session 3 (2015-11-18)	2015-11-18	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 26	Sitting 2015-11-18	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	WassilaHachchi	Hachchi, Wassila	F	1980	
ParlaMint-NL-en_2015-11-18-tweedekamer-3	ParlaMint-NL_2015-11-18-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 26, Session 3 (2015-11-18)	2015-11-18	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 26	Sitting 2015-11-18	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-18-tweedekamer-3	ParlaMint-NL_2015-11-18-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 26, Session 3 (2015-11-18)	2015-11-18	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 26	Sitting 2015-11-18	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2015-11-18-tweedekamer-3	ParlaMint-NL_2015-11-18-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 26, Session 3 (2015-11-18)	2015-11-18	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 26	Sitting 2015-11-18	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2015-11-18-tweedekamer-3	ParlaMint-NL_2015-11-18-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 26, Session 3 (2015-11-18)	2015-11-18	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 26	Sitting 2015-11-18	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2015-11-18-tweedekamer-3	ParlaMint-NL_2015-11-18-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 26, Session 3 (2015-11-18)	2015-11-18	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 26	Sitting 2015-11-18	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2015-11-18-tweedekamer-3	ParlaMint-NL_2015-11-18-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 26, Session 3 (2015-11-18)	2015-11-18	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 26	Sitting 2015-11-18	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2015-11-18-tweedekamer-3	ParlaMint-NL_2015-11-18-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 26, Session 3 (2015-11-18)	2015-11-18	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 26	Sitting 2015-11-18	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SultanGünal-Gezer	Günal-Gezer, Sultan	F	1961	
ParlaMint-NL-en_2015-11-18-tweedekamer-3	ParlaMint-NL_2015-11-18-tweedekamer-3.u12	Report of the meeting of the Dutch Lower House, Meeting 26, Session 3 (2015-11-18)	2015-11-18	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 26	Sitting 2015-11-18	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
