Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-07-01-tweedekamer-46	ParlaMint-NL_2015-07-01-tweedekamer-46.u1	Report of the meeting of the Dutch Lower House, Meeting 103, Session 46 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 46	Meeting 103	Sitting 2015-07-01	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-01-tweedekamer-46	ParlaMint-NL_2015-07-01-tweedekamer-46.u2	Report of the meeting of the Dutch Lower House, Meeting 103, Session 46 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 46	Meeting 103	Sitting 2015-07-01	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BettydeBoer	de Boer, Betty	F	1971	
ParlaMint-NL-en_2015-07-01-tweedekamer-46	ParlaMint-NL_2015-07-01-tweedekamer-46.u3	Report of the meeting of the Dutch Lower House, Meeting 103, Session 46 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 46	Meeting 103	Sitting 2015-07-01	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FarshadBashir	Bashir, Farshad	M	1988	
ParlaMint-NL-en_2015-07-01-tweedekamer-46	ParlaMint-NL_2015-07-01-tweedekamer-46.u4	Report of the meeting of the Dutch Lower House, Meeting 103, Session 46 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 46	Meeting 103	Sitting 2015-07-01	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BettydeBoer	de Boer, Betty	F	1971	
ParlaMint-NL-en_2015-07-01-tweedekamer-46	ParlaMint-NL_2015-07-01-tweedekamer-46.u5	Report of the meeting of the Dutch Lower House, Meeting 103, Session 46 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 46	Meeting 103	Sitting 2015-07-01	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FarshadBashir	Bashir, Farshad	M	1988	
ParlaMint-NL-en_2015-07-01-tweedekamer-46	ParlaMint-NL_2015-07-01-tweedekamer-46.u6	Report of the meeting of the Dutch Lower House, Meeting 103, Session 46 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 46	Meeting 103	Sitting 2015-07-01	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	DucoHoogland	Hoogland, Duco	M	1984	
ParlaMint-NL-en_2015-07-01-tweedekamer-46	ParlaMint-NL_2015-07-01-tweedekamer-46.u7	Report of the meeting of the Dutch Lower House, Meeting 103, Session 46 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 46	Meeting 103	Sitting 2015-07-01	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-07-01-tweedekamer-46	ParlaMint-NL_2015-07-01-tweedekamer-46.u8	Report of the meeting of the Dutch Lower House, Meeting 103, Session 46 (2015-07-01)	2015-07-01	Lower house	Meeting of the 28th Tweede Kamer	Session 46	Meeting 103	Sitting 2015-07-01	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
